I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
*_,CUSN.L,Cornish Metals Inc.,Basic Materials,Other Industrial Metals & Mining,1.00,7.23 - 7.44,7.50 - 7.70,0.27 - 0.47,7.35,624.45,393537,4,0.661,4
@_,CVSG.L,CVS Group plc,Consumer Cyclical,Personal Services,0.75,1206.00 - 1228.00,1224.00 - 1246.00,18.00 - 40.00,1238.00,312.92,60355,3,1.053,4
*_,CWR.L,Ceres Power Holdings plc,Industrials,Electrical Equipment & Parts,0.00,110.30 - 112.10,113.60 - 115.00,3.30 - 4.70,111.60,442.70,856981,5,1.79,3
*_,CYAN.L,CyanConnode Holdings plc,Technology,Communication Equipment,1.20,7.53 - 7.75,7.84 - 7.99,0.31 - 0.46,7.50,761.54,186539,3,1.236,5
@_,CYK.L,Cykel AI Development Limited,Technology,Software Infrastructure,1.00,1.38 - 1.38,1.54 - 1.54,0.16 - 0.16,1.52,579.68,3579739,6,UNKNOWN,1
@_,CYN.L,CQS Natural Resources G&I Ord,Financial Services,Asset Management,1.00,212.00 - 217.56,215.00 - 221.90,3.00 - 9.90,219.98,375.39,81234,3,UNKNOWN,4
@_,DAL.L,Dalata Hotel Group plc,Consumer Cyclical,Lodging,1.00,551.57 - 551.57,575.00 - 575.00,23.43 - 23.43,552.50,210.87,40569,2,1.367,1
@_,DAR.L,Dar Global PLC,Real Estate,Real Estate Development,2.33,7.15 - 7.50,7.30 - 7.60,0.15 - 0.45,7.60,449.05,522,1,0.24,3
*_,DATA.L,GlobalData Plc,Industrials,Consulting Services,0.00,130.00 - 139.78,133.50 - 141.73,3.50 - 11.73,131.50,201.25,1381128,6,0.376,2
@_,DBOX.L,Digitalbox plc,Communication Services,Internet Content & Information,0.00,4.65 - 4.70,4.95 - 5.32,0.30 - 0.67,4.95,981.56,112864,3,-0.065,2
@_,DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing,2.50,4652.00 - 4656.00,4739.00 - 4838.00,87.00 - 186.00,4726.00,269.00,235051,4,0.66,2
@_,DCTA.L,Directa Plus Plc,Basic Materials,Specialty Chemicals,0.57,11.00 - 11.50,11.26 - 12.00,0.26 - 1.00,11.50,1757.84,106440,3,0.846,7
*_,DEBS.L,boohoo group plc,Consumer Cyclical,Internet Retail,0.00,15.54 - 15.85,15.90 - 16.42,0.36 - 0.88,14.30,295.11,4653877,6,1.403,2
@_,DEC.L,Diversified Energy Company PLC,Energy,Oil & Gas Integrated,2.50,1084.00 - 1113.00,1138.00 - 1208.25,54.00 - 124.25,1121.00,597.00,139920,3,0.054,2
@_,DELT.L,Deltic Energy Plc,Energy,Oil & Gas E&P,0.60,6.90 - 7.20,7.09 - 7.50,0.19 - 0.60,7.20,1110.05,347233,4,1.248,5
@_,DEVO.L,Devolver Digital  Inc.,Communication Services,Electronic Gaming & Multimedia,0.00,23.00 - 23.11,23.50 - 23.50,0.50 - 0.50,23.50,276.98,29904,2,-0.315,3
@_,DFCH.L,Distribution Finance Capital Holdings plc,Financial Services,Credit Services,0.00,43.00 - 44.32,45.00 - 45.50,2.00 - 2.50,45.50,800.46,34776,2,0.852,4
@_,DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail,1.00,150.68 - 155.65,156.00 - 159.50,5.32 - 8.82,157.00,298.76,105981,3,1.056,2
@_,DGE.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,1.25,1950.00 - 2025.68,2012.00 - 2068.50,62.00 - 118.50,2030.00,364.64,6427930,7,0.262,4
@_,DGED.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,2.50,105.47 - 109.30,109.90 - 112.23,4.43 - 6.76,110.81,340.06,5792,1,0.262,2
*_,DGI9.L,Digital 9 Infrastructure Ord,Financial Services,Asset Management,1.33,9.72 - 9.80,9.89 - 9.90,0.17 - 0.18,9.67,225.60,706821,5,UNKNOWN,3
@_,DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts,1.00,171.00 - 182.00,188.00 - 189.25,17.00 - 18.25,193.00,688.75,10511,2,0.507,2
*_,DIAL.L,Diales Group Plc,Industrials,Consulting Services,0.00,19.00 - 20.00,19.96 - 21.50,0.96 - 2.50,19.00,1192.50,48304,2,0.444,3
@_,DIS.L,Distil Plc,Consumer Defensive,Beverages Wineries & Distilleries,0.50,0.16 - 0.17,0.18 - 0.19,0.02 - 0.03,0.18,1248.75,1162038,6,0.72,2
@_,DIVI.L,Diverse Income Trust Ord,Financial Services,Asset Management,0.00,99.68 - 99.68,101.50 - 101.50,1.82 - 1.82,100.90,91.00,386352,4,UNKNOWN,1
@_,DKL.L,Dekel Agri-Vision plc,Consumer Defensive,Farm Products,1.00,0.46 - 0.46,0.52 - 0.52,0.07 - 0.07,0.47,659.34,1482705,6,0.856,1
@_,DLN.L,Derwent London Plc,Real Estate,REIT Office,0.00,1733.00 - 1733.00,1794.00 - 1794.00,61.00 - 61.00,1747.00,122.00,309586,4,1.152,1
@_,DNLM.L,Dunelm Group plc,Consumer Cyclical,Specialty Retail,1.00,1185.00 - 1185.00,1201.00 - 1201.00,16.00 - 16.00,1189.00,64.00,366193,4,0.819,1
@_,DNM.L,Dianomi plc,Communication Services,Advertising Agencies,0.00,25.24 - 25.24,26.50 - 26.50,1.26 - 1.26,26.50,249.48,7216,1,0.285,1
*_,DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,1.33,75.95 - 76.98,76.75 - 78.40,0.80 - 2.45,74.60,204.63,653949,5,0.177,3
*_,DOM.L,Domino's Pizza Group plc,Consumer Cyclical,Restaurants,0.00,203.74 - 203.80,208.00 - 211.45,4.26 - 7.71,199.00,285.84,2937352,6,0.929,2
@_,DORE.L,Downing Renewables & Infrastructure Ord,Utilities,Utilities Renewable,5.00,101.50 - 101.50,103.00 - 103.00,1.50 - 1.50,102.00,73.50,279519,4,UNKNOWN,1
*_,DOTD.L,dotdigital Group Plc,Technology,Software Application,1.50,69.00 - 69.60,71.40 - 71.42,2.40 - 2.42,68.10,302.04,515310,5,1.279,2
@_,DPP.L,DP Poland Plc,Consumer Cyclical,Restaurants,0.00,9.50 - 9.89,9.99 - 10.50,0.49 - 1.00,9.95,2752.98,322845,4,0.35,12
@_,DRX.L,Drax Group plc,Utilities,Utilities Renewable,0.50,676.00 - 684.00,684.50 - 702.50,8.50 - 26.50,694.50,189.00,987120,5,0.729,2
*_,DSCV.L,discoverIE Group plc,Technology,Electronic Components,1.00,649.00 - 660.00,659.40 - 671.00,10.40 - 22.00,649.00,247.80,99381,3,1.05,3
@_,DSW.L,DSW Capital plc,Industrials,Specialty Business Services,0.67,55.00 - 58.00,61.22 - 62.00,6.22 - 7.00,56.00,1203.22,15251,2,0.284,3
@_,DUKE.L,Duke Capital Limited,Financial Services,Asset Management,0.00,29.00 - 29.68,29.89 - 30.50,0.89 - 1.50,30.50,840.67,407389,4,1.182,9
@_,DWHA.L,Dewhurst Group Plc,Industrials,Electrical Equipment & Parts,1.00,600.15 - 600.60,629.40 - 639.00,29.25 - 38.85,625.00,541.20,22803,2,0.568,2
*_,DWHT.L,Dewhurst Group Plc,Industrials,Electrical Equipment & Parts,0.38,715.00 - 800.00,743.00 - 838.00,28.00 - 123.00,765.00,1362.60,6924,1,0.568,8
@_,DWL.L,Dowlais Group plc,Consumer Cyclical,Auto Parts,2.00,69.80 - 74.15,75.85 - 78.40,6.04 - 8.60,77.35,714.30,4482925,6,0.295,2
@_,DXRX.L,Diaceutics PLC,Healthcare,Health Information Services,1.33,135.00 - 137.50,139.00 - 139.90,4.00 - 4.90,137.50,306.40,167941,3,0.731,3
@_,EAAS.L,eEnergy Group Plc,Industrials,Electrical Equipment & Parts,0.75,3.50 - 4.00,3.90 - 4.11,0.40 - 0.61,4.20,1588.90,2963476,6,0.933,4
*_,EAH.L,ECO Animal Health Group plc,Healthcare,Drug Manufacturers Specialty & Generic,0.00,73.85 - 74.56,75.44 - 76.00,1.59 - 2.15,73.50,265.99,41703,2,-0.011,3
@_,EARN.L,EARNZ plc,Financial Services,Shell Companies,0.50,4.18 - 4.50,4.50 - 5.00,0.32 - 0.82,4.50,938.54,118666,3,0.612,2
@_,EAT.L,European Assets Ord,Financial Services,Asset Management,3.00,95.20 - 95.40,96.62 - 96.80,1.42 - 1.60,95.79,146.64,600935,5,UNKNOWN,2
*_,EBQ.L,Ebiquity plc,Communication Services,Advertising Agencies,0.40,19.06 - 21.00,20.00 - 22.00,0.94 - 2.94,20.50,1221.04,307837,4,0.411,5
*_,ECEL.L,Eurocell plc,Industrials,Building Products & Equipment,0.67,147.85 - 149.00,149.40 - 151.48,1.55 - 3.63,147.43,223.74,104257,3,0.703,3
@_,ECO.L,Eco (Atlantic) Oil & Gas Ltd.,Energy,Oil & Gas E&P,3.00,8.25 - 8.45,8.55 - 8.80,0.30 - 0.55,8.65,392.40,770590,5,1.153,2
*_,ECOB.L,Eco Buildings Group plc,Basic Materials,Building Materials,0.50,3.60 - 3.60,3.78 - 3.80,0.18 - 0.20,3.20,1082.64,65008,3,-0.158,4
@_,ECOR.L,Ecora Resources PLC,Basic Materials,Other Industrial Metals & Mining,2.50,65.60 - 71.48,72.12 - 73.30,6.52 - 7.70,72.60,621.10,329288,4,0.3,2
@_,ECR.L,ECR Minerals plc,Basic Materials,Gold,2.00,0.21 - 0.21,0.25 - 0.25,0.04 - 0.04,0.21,968.52,35333633,8,0.906,1
@_,EDEN.L,Eden Research plc,Basic Materials,Agricultural Inputs,1.00,3.25 - 3.30,3.34 - 3.40,0.09 - 0.15,3.40,700.79,202175,4,1.288,5
@_,EDIN.L,Edinburgh Investment Ord,Financial Services,Asset Management,4.00,781.44 - 781.44,794.50 - 794.50,13.06 - 13.06,791.98,78.36,244065,4,UNKNOWN,1
*_,EDV.L,Endeavour Mining plc,Basic Materials,Gold,0.25,2406.00 - 2468.00,2460.00 - 2520.00,54.00 - 114.00,2448.00,379.88,379230,4,0.47,4
@_,EEE.L,Empire Metals Limited,Basic Materials,Other Precious Metals & Mining,0.29,28.30 - 29.50,29.10 - 29.97,0.80 - 1.67,30.00,775.89,1553294,6,1.772,7
*_,EGL.L,Ecofin Global Utilities & Infra Ord,Financial Services,Asset Management,0.00,219.00 - 219.00,222.35 - 222.35,3.35 - 3.35,217.00,73.70,204321,4,UNKNOWN,1
@_,EGT.L,UNKNOWN,Financial Services,Asset Management,4.00,6.68 - 6.75,7.00 - 7.00,0.32 - 0.32,6.75,424.36,11203,2,UNKNOWN,2
@_,EGY.L,UNKNOWN,UNKNOWN,UNKNOWN,1.00,280.00 - 280.00,290.00 - 290.00,10.00 - 10.00,280.00,170.00,337,1,0.872,1
@_,EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices,0.25,28.30 - 28.80,28.95 - 30.00,0.65 - 1.70,28.95,1136.45,167498,3,0.248,8
*_,ELCO.L,Eleco plc,Technology,Software Application,2.00,166.25 - 168.00,169.50 - 171.00,3.25 - 4.75,167.00,184.50,74260,3,0.479,2
*_,ELIX.L,Elixirr International plc,Industrials,Consulting Services,3.00,685.00 - 685.00,720.00 - 720.00,35.00 - 35.00,671.00,245.00,21275,2,0.62,1
@_,ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance Life,1.00,144.00 - 145.10,146.64 - 146.75,2.64 - 2.75,146.50,236.30,79791,3,UNKNOWN,3
*_,ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,1.00,166.60 - 166.60,169.40 - 169.40,2.80 - 2.80,164.60,84.00,941331,5,1.588,1
@_,EMAN.L,Everyman Media Group plc,Communication Services,Entertainment,2.00,42.00 - 42.50,42.98 - 42.99,0.98 - 0.99,42.50,267.17,15920,2,0.817,3
@_,EMG.L,Man Group Plc,Financial Services,Asset Management,2.50,157.51 - 157.90,159.20 - 161.50,1.69 - 3.99,159.37,163.99,4009169,6,0.651,2
*_,EMH.L,European Metals Holdings Limited,Basic Materials,Other Industrial Metals & Mining,0.50,9.00 - 10.02,9.87 - 10.66,0.87 - 1.66,9.50,2108.83,251366,4,UNKNOWN,6
@_,EML.L,Emmerson PLC,Basic Materials,Agricultural Inputs,1.00,1.82 - 1.92,1.95 - 2.00,0.13 - 0.18,1.88,1605.90,307051,4,0.902,6
@_,EMR.L,Empresaria Group plc,Industrials,Staffing & Employment Services,0.00,36.00 - 41.00,40.00 - 41.70,4.00 - 5.70,41.00,984.95,39721,2,0.358,4
*_,EMVC.L,EMV Capital plc,Financial Services,Asset Management,0.00,49.10 - 52.50,50.98 - 55.00,1.88 - 5.90,50.50,682.18,15311,2,0.447,4
@_,ENOG.L,Energean plc,Energy,Oil & Gas E&P,1.50,901.00 - 925.00,930.50 - 944.00,29.50 - 43.00,920.50,242.50,208264,4,0.652,2
@_,ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P,1.00,12.54 - 12.54,12.78 - 12.78,0.24 - 0.24,12.66,95.52,1479529,6,0.442,1
@_,ENRG.L,VH Global Energy Infrastructure Ord,Financial Services,Asset Management,0.60,67.00 - 68.76,68.00 - 70.38,1.00 - 3.38,70.38,455.56,856534,5,UNKNOWN,5
*_,ENSI.L,EnSilica plc,Technology,Semiconductors,0.33,41.34 - 47.25,42.00 - 48.00,0.66 - 6.66,44.00,1616.44,133240,3,0.446,9
@_,ENW.L,Enwell Energy plc,Energy,Oil & Gas E&P,0.25,14.00 - 17.80,18.00 - 19.71,4.00 - 5.71,19.00,2646.27,75508,3,-0.269,4
*_,EOG.L,Europa Oil & Gas (Holdings) plc,Energy,Oil & Gas E&P,0.00,0.82 - 0.85,0.86 - 0.94,0.04 - 0.12,0.73,1442.62,37223997,8,-0.339,4
@_,EOT.L,European Opportunities Trust,Financial Services,Asset Management,0.00,926.49 - 930.00,937.00 - 941.00,10.51 - 14.51,931.00,107.55,64394,3,UNKNOWN,2
*_,EPP.L,EnergyPathways plc,Utilities,Utilities Regulated Gas,0.00,4.89 - 5.95,5.34 - 6.50,0.45 - 1.61,2.16,1963.10,10289779,8,UNKNOWN,4
@_,EPWN.L,Epwin Group Plc,Industrials,Building Products & Equipment,0.50,91.00 - 91.05,91.95 - 118.28,0.95 - 27.28,117.50,1521.72,1660175,6,0.728,2
@_,EQT.L,EQTEC plc,Industrials,Specialty Industrial Machinery,0.00,0.45 - 0.50,0.55 - 0.55,0.10 - 0.10,0.50,4178.00,739557,5,2.655,5
@_,ESCT.L,The European Smaller Companies Trust PLC,Financial Services,Asset Management,2.00,215.50 - 215.50,218.50 - 218.50,3.00 - 3.00,215.86,69.00,236038,4,UNKNOWN,1
*_,ESNT.L,Essentra plc,Basic Materials,Specialty Chemicals,0.67,100.00 - 101.60,101.60 - 104.00,1.60 - 4.00,99.30,274.04,588976,5,1.026,3
@_,EST.L,East Star Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.00,1.52 - 1.55,1.57 - 1.70,0.05 - 0.18,1.60,1894.34,757277,5,-0.756,6
*_,ESYS.L,essensys plc,Technology,Software Application,0.00,21.60 - 21.60,23.00 - 23.00,1.40 - 1.40,21.50,323.40,12129,2,0.627,1
@_,EUA.L,Eurasia Mining Plc,Basic Materials,Other Precious Metals & Mining,0.00,4.25 - 4.99,4.70 - 5.08,0.45 - 0.83,5.00,1901.51,8567286,7,0.768,9
*_,EVOK.L,Evoke plc,Consumer Cyclical,Gambling,0.25,62.78 - 70.50,64.30 - 72.76,1.52 - 9.98,60.52,644.08,1967420,6,1.004,4
*_,EVPL.L,everplay group plc,Communication Services,Electronic Gaming & Multimedia,1.25,377.00 - 393.12,394.00 - 402.56,17.00 - 25.56,379.00,557.28,621843,5,0.728,4
*_,EWI.L,Edinburgh Worldwide Ord,Financial Services,Asset Management,0.00,191.60 - 191.60,195.00 - 195.00,3.40 - 3.40,191.00,88.40,870247,5,UNKNOWN,1
@_,EXPN.L,Experian plc,Industrials,Consulting Services,2.00,3723.00 - 3770.00,3804.00 - 3821.00,81.00 - 98.00,3796.50,132.00,1324133,6,0.756,2
@_,EXR.L,ENGAGE XR Holdings plc,Technology,Software Application,2.33,1.00 - 1.02,1.08 - 1.10,0.09 - 0.11,1.02,1185.42,129758,3,-0.148,3
*_,EYE.L,Eagle Eye Solutions Group PLC,Technology,Software Application,1.33,224.00 - 230.60,231.00 - 235.60,7.00 - 11.60,224.00,372.19,36097,2,0.422,3
@_,EZJ.L,easyJet plc,Industrials,Airlines,1.33,490.70 - 509.00,506.46 - 518.00,15.76 - 27.30,515.60,305.20,4067539,6,2.321,3
@_,FAB.L,Fusion Antibodies plc,Healthcare,Biotechnology,0.75,11.97 - 17.00,15.16 - 17.80,3.19 - 5.83,17.50,3578.51,2767281,6,0.424,4
*_,FAN.L,Volution Group plc,Industrials,Building Products & Equipment,1.00,654.50 - 665.00,662.00 - 674.00,7.50 - 19.50,649.00,115.50,297528,4,1.114,2
@_,FAR.L,Ferro-Alloy Resources Limited,Basic Materials,Other Industrial Metals & Mining,1.40,7.00 - 8.10,7.12 - 9.88,0.12 - 2.88,9.67,1950.37,1265916,6,0.603,5
*_,FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology,1.33,203.90 - 220.00,208.90 - 233.50,5.00 - 29.60,210.00,652.75,18764,2,1.144,3
@_,FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services,0.83,138.00 - 150.62,142.40 - 153.20,4.40 - 15.20,149.40,830.39,411615,4,0.58,6
@_,FCIT.L,F&C Investment Trust Ord,Financial Services,Asset Management,3.00,1151.00 - 1151.00,1168.00 - 1168.00,17.00 - 17.00,1160.45,68.00,365805,4,UNKNOWN,1
@_,FCM.L,First Class Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.00,1.95 - 2.00,2.03 - 2.03,0.08 - 0.08,2.03,485.00,98305,3,UNKNOWN,3
@_,FCSS.L,Fidelity China Special Ord,Financial Services,Asset Management,1.67,284.00 - 288.38,289.05 - 293.00,5.05 - 9.00,288.50,279.82,622175,5,UNKNOWN,3
*_,FDEV.L,Frontier Developments plc,Communication Services,Electronic Gaming & Multimedia,0.50,373.60 - 382.00,390.00 - 391.00,16.40 - 17.40,370.50,330.20,94674,3,-0.147,2
@_,FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services,1.33,121.00 - 125.19,126.20 - 126.80,5.20 - 5.80,123.60,339.99,869363,5,0.817,3
@_,FEML.L,Fidelity Emerging Markets Ord,Financial Services,Asset Management,1.00,823.23 - 832.40,835.00 - 851.00,11.77 - 27.77,851.64,236.04,41084,2,UNKNOWN,3
@_,FEN.L,Frenkel Topping Group Plc,Financial Services,Asset Management,0.00,46.50 - 47.50,48.28 - 48.35,1.78 - 1.85,47.00,279.85,21466,2,-0.103,2
@_,FEV.L,Fidelity European Trust Ord,Financial Services,Asset Management,1.67,393.80 - 397.00,398.02 - 402.50,4.22 - 8.70,399.90,169.44,699747,5,UNKNOWN,3
*_,FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages Non-Alcoholic,1.50,942.60 - 945.00,960.00 - 969.00,17.40 - 26.40,926.30,207.00,324547,4,1.051,2
*_,FGEN.L,Foresight Environmental Infra Ord,Financial Services,Asset Management,1.00,80.10 - 80.48,81.60 - 81.70,1.50 - 1.60,79.70,168.64,1486694,6,UNKNOWN,2
@_,FIH.L,FIH group plc,Industrials,Conglomerates,1.50,215.00 - 215.00,219.90 - 220.00,4.90 - 5.00,220.00,227.70,3059,1,-0.047,2
@_,FIN.L,Finseta Plc,Technology,Software Infrastructure,0.80,23.05 - 23.73,23.98 - 24.80,0.93 - 1.75,24.00,775.84,503259,5,1.568,5
@_,FIPP.L,Frontier IP Group Plc,Financial Services,Asset Management,0.50,19.00 - 19.50,19.67 - 19.82,0.67 - 0.82,19.50,449.26,54923,3,0.318,4
@_,FJV.L,Fidelity Japan Trust Ord,Financial Services,Asset Management,2.33,202.00 - 209.98,210.00 - 213.24,8.00 - 11.24,211.00,403.30,215596,4,UNKNOWN,3
@_,FKE.L,Fiske plc,Financial Services,Capital Markets,3.00,70.00 - 70.00,74.00 - 74.00,4.00 - 4.00,70.00,284.00,11748,2,0.198,1
@_,FLK.L,Fletcher King Plc,Real Estate,Real Estate Services,8.00,36.00 - 36.00,40.00 - 40.00,4.00 - 4.00,38.00,552.00,5668,1,UNKNOWN,1
*_,FLO.L,Flowtech Fluidpower plc,Industrials,Industrial Distribution,0.00,55.00 - 59.36,56.44 - 61.00,1.44 - 6.00,56.46,915.91,117019,3,0.558,6
@_,FME.L,Future Metals NL,Basic Materials,Other Precious Metals & Mining,7.00,0.76 - 0.76,0.93 - 0.93,0.17 - 0.17,0.82,1125.06,160141,3,1.01,1
@_,FMET.L,Fulcrum Metals plc,Basic Materials,Other Precious Metals & Mining,0.00,3.30 - 3.54,3.60 - 3.68,0.30 - 0.38,3.70,796.26,235462,4,0.703,3
*_,FNTL.L,Fintel Plc,Industrials,Consulting Services,0.75,221.00 - 235.55,230.50 - 241.00,9.50 - 20.00,218.26,737.32,58666,3,0.982,4
@_,FNX.L,Fonix Plc,Technology,Software Infrastructure,0.00,214.55 - 220.05,223.80 - 223.97,9.25 - 9.42,216.35,299.16,71251,3,0.643,2
@_,FOG.L,Falcon Oil & Gas Ltd.,Energy,Oil & Gas E&P,0.50,6.75 - 7.25,6.99 - 8.00,0.24 - 1.25,7.38,1842.57,304382,4,-0.188,6
*_,FORT.L,Forterra plc,Basic Materials,Building Materials,0.50,194.60 - 195.00,197.20 - 200.00,2.60 - 5.40,192.40,190.00,529217,5,0.858,2
@_,FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies,1.25,3195.00 - 3310.00,3260.51 - 3377.50,65.51 - 182.50,3370.00,303.01,112016,3,0.72,4
*_,FOXT.L,Foxtons Group plc,Real Estate,Real Estate Services,0.00,57.13 - 57.15,57.90 - 58.00,0.77 - 0.87,56.80,140.94,1625524,6,1.361,2
@_,FPO.L,First Property Group plc,Real Estate,Real Estate Services,0.00,15.10 - 15.10,15.50 - 15.50,0.40 - 0.40,15.50,132.40,28006,2,0.163,1
*_,FPP.L,Fragrant Prosperity Holdings Limited,Financial Services,Shell Companies,1.00,0.81 - 0.84,0.84 - 0.86,0.02 - 0.05,0.83,728.48,6446713,7,1.374,5
@_,FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services,0.38,132.00 - 138.40,134.70 - 140.50,2.70 - 8.50,138.00,717.82,316859,4,0.463,8
*_,FRAS.L,Frasers Group Plc,Consumer Cyclical,Specialty Retail,1.25,664.50 - 688.50,672.50 - 702.42,8.00 - 37.92,682.00,305.62,139197,3,1.347,4
*_,FRES.L,Fresnillo plc,Basic Materials,Other Precious Metals & Mining,0.80,1571.60 - 1728.00,1599.00 - 1765.00,27.40 - 193.40,1689.00,720.60,1301871,6,0.222,5
@_,FRG.L,Firering Strategic Minerals Plc,Basic Materials,Other Industrial Metals & Mining,3.50,1.47 - 1.50,1.60 - 1.90,0.13 - 0.43,1.88,1774.76,1318113,6,0.858,2
@_,FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,4.00,125.77 - 125.77,129.95 - 129.95,4.18 - 4.18,128.60,163.02,431027,4,0.2,1
@_,FSFL.L,Foresight Solar Ord,Financial Services,Asset Management,4.00,85.71 - 85.71,88.10 - 88.10,2.39 - 2.39,86.85,138.62,562311,5,UNKNOWN,1
@_,FSG.L,Foresight Group Holdings Limited,Financial Services,Asset Management,0.50,454.50 - 455.50,461.00 - 461.59,6.50 - 7.09,457.50,132.99,107413,3,0.512,2
*_,FSJ.L,James Fisher and Sons plc,Industrials,Marine Shipping,0.50,324.00 - 362.00,332.64 - 366.22,8.64 - 42.22,333.71,184.46,26935,2,0.403,2
*_,FSTA.L,Fuller  Smith & Turner P.L.C.,Consumer Cyclical,Restaurants,1.00,570.00 - 582.00,578.00 - 590.16,8.00 - 20.16,550.00,129.28,33679,2,0.705,2
@_,FSV.L,Fidelity Special Values Ord,Financial Services,Asset Management,8.00,378.27 - 378.27,384.50 - 384.50,6.23 - 6.23,382.00,80.99,578118,5,UNKNOWN,1
@_,FTC.L,Filtronic plc,Technology,Communication Equipment,0.33,127.22 - 138.44,137.80 - 142.00,10.58 - 14.78,144.44,782.39,1569920,6,0.585,3
@_,FUM.L,Futura Medical plc,Healthcare,Biotechnology,0.22,8.62 - 9.90,9.28 - 10.13,0.66 - 1.51,9.52,1794.38,497278,4,0.736,9
@_,FUTR.L,Future plc,Communication Services,Publishing,1.20,707.00 - 748.50,737.00 - 757.50,30.00 - 50.50,744.00,486.00,518319,5,0.863,5
@_,FXPO.L,Ferrexpo plc,Basic Materials,Steel,0.40,45.90 - 57.40,53.70 - 59.30,7.80 - 13.40,53.10,1917.47,5789209,7,0.985,5
@_,G4M.L,Gear4music (Holdings) plc,Consumer Cyclical,Internet Retail,1.00,242.75 - 251.00,251.00 - 255.82,8.25 - 13.07,253.00,512.18,39692,2,0.933,4
*_,GABI.L,GCP Asset Backed Income,Financial Services,Asset Management,0.00,64.01 - 64.01,64.73 - 64.85,0.72 - 0.84,63.50,121.68,252074,4,UNKNOWN,2
@_,GAID.L,UNKNOWN,UNKNOWN,UNKNOWN,8.00,11.80 - 11.80,12.05 - 12.05,0.25 - 0.25,12.05,105.75,UNKNOWN,0,UNKNOWN,1
@_,GAL.L,Galantas Gold Corporation,Basic Materials,Gold,1.25,3.00 - 3.60,3.80 - 3.98,0.80 - 0.98,3.50,3584.84,90947,3,1.893,4
@_,GAMA.L,Gamma Communications plc,Communication Services,Telecom Services,2.00,1067.20 - 1070.00,1084.00 - 1098.00,16.80 - 30.80,1074.00,179.20,418577,4,0.505,2
@_,GATC.L,Gattaca plc,Industrials,Staffing & Employment Services,0.50,96.00 - 98.00,99.00 - 100.00,3.00 - 4.00,98.00,536.95,46401,2,1.673,4
*_,GBG.L,GB Group plc,Technology,Software Application,1.33,218.50 - 223.50,222.00 - 228.50,3.50 - 10.00,222.31,290.62,762327,5,-0.008,3
@_,GCM.L,GCM Resources Plc,Energy,Thermal Coal,0.17,4.22 - 4.88,5.00 - 5.17,0.78 - 0.95,4.50,2771.40,885230,5,0.579,6
*_,GCP.L,GCP Infrastructure Investment Ord,Financial Services,Asset Management,1.33,76.00 - 77.13,76.80 - 78.00,0.80 - 2.00,77.00,176.58,1385579,6,UNKNOWN,3
*_,GDP.L,Goldplat PLC,Basic Materials,Gold,0.80,6.31 - 7.20,6.75 - 7.49,0.44 - 1.18,6.88,1473.64,600184,5,-0.226,5
@_,GDR.L,genedrive plc,Healthcare,Diagnostics & Research,0.00,0.80 - 0.82,0.84 - 0.87,0.04 - 0.07,0.85,1289.28,10742902,8,0.343,5
@_,GELN.L,Gelion plc,Industrials,Electrical Equipment & Parts,0.00,22.04 - 22.90,23.00 - 24.00,0.96 - 1.96,23.00,1083.26,143115,3,0.009,5
*_,GEM.L,Gemfields Group Limited,Basic Materials,Other Precious Metals & Mining,1.25,5.50 - 6.24,6.10 - 6.50,0.60 - 1.00,5.75,1471.34,371796,4,0.351,4
@_,GEMD.L,Gem Diamonds Limited,Basic Materials,Other Precious Metals & Mining,0.83,6.57 - 6.80,6.93 - 7.33,0.36 - 0.77,7.34,1895.31,124728,3,1.195,6
@_,GEMR.L,Gem Resources Plc,Basic Materials,Other Precious Metals & Mining,0.00,0.17 - 0.17,0.19 - 0.21,0.03 - 0.05,0.20,3573.30,473436,4,0.365,4
*_,GEN.L,Genuit Group plc,Industrials,Building Products & Equipment,1.00,357.00 - 383.50,376.50 - 389.50,19.50 - 32.50,357.50,435.50,1113275,6,1.405,3
