I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk
@_,DEVO.L,Devolver Digital  Inc.,Communication Services,Electronic Gaming & Multimedia,0.00,22.00 - 22.00,24.00 - 24.00,2.00 - 2.00,23.00,454.00,4985,1,-0.338
@_,DFCH.L,Distribution Finance Capital Holdings plc,Financial Services,Credit Services,0.50,39.45 - 41.66,40.00 - 43.84,0.55 - 4.39,42.40,848.94,363725,4,0.892
@_,DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail,1.00,163.00 - 164.25,166.50 - 166.50,3.50 - 3.50,166.13,172.50,178367,3,1.038
*_,DGE.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,1.67,1896.37 - 1918.50,1938.00 - 1955.00,41.63 - 58.63,1901.00,241.26,4371050,6,0.281
*_,DGED.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,1.00,101.96 - 104.52,103.95 - 107.57,1.99 - 5.61,103.43,450.44,1624,1,0.281
*_,DGI9.L,Digital 9 Infrastructure Ord,Financial Services,Asset Management,2.00,9.80 - 9.80,9.90 - 9.99,0.10 - 0.19,9.71,147.90,UNKNOWN,0,UNKNOWN
@_,DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts,1.25,190.00 - 191.39,192.00 - 218.00,2.00 - 28.00,209.50,1159.34,21212,2,0.446
@_,DIS.L,Distil Plc,Consumer Defensive,Beverages Wineries & Distilleries,0.00,0.19 - 0.20,0.21 - 0.24,0.02 - 0.05,0.20,4796.51,2166877,6,0.558
@_,DIVI.L,Diverse Income Trust Ord,Financial Services,Asset Management,6.00,104.00 - 104.00,105.50 - 105.50,1.50 - 1.50,105.50,72.00,729086,5,UNKNOWN
@_,DKL.L,Dekel Agri-Vision plc,Consumer Defensive,Farm Products,0.29,0.56 - 0.57,0.59 - 0.60,0.03 - 0.05,0.60,1760.98,2165505,6,0.885
*_,DLN.L,Derwent London Plc,Real Estate,REIT Office,0.00,1996.00 - 1996.00,2026.00 - 2026.00,30.00 - 30.00,1938.00,60.00,225031,4,1.144
*_,DNLM.L,Dunelm Group plc,Consumer Cyclical,Specialty Retail,1.00,1117.00 - 1125.50,1132.00 - 1145.00,15.00 - 28.00,1124.00,138.00,365797,4,0.83
@_,DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,0.75,75.50 - 77.55,77.15 - 79.20,1.65 - 3.70,78.80,404.04,950677,5,0.152
*_,DOM.L,Domino's Pizza Group plc,Consumer Cyclical,Restaurants,0.00,254.40 - 255.60,258.40 - 262.00,4.00 - 7.60,248.30,197.60,828436,5,0.925
@_,DOTD.L,dotdigital Group Plc,Technology,Software Application,0.80,71.30 - 74.60,73.83 - 76.40,2.53 - 5.10,75.60,620.84,350989,4,1.299
@_,DPLM.L,Diploma PLC,Industrials,Industrial Distribution,2.33,4808.00 - 4828.00,4872.00 - 4916.00,64.00 - 108.00,4892.72,220.00,250067,4,0.767
*_,DPP.L,DP Poland Plc,Consumer Cyclical,Restaurants,0.60,10.10 - 10.39,10.50 - 11.00,0.40 - 0.90,10.30,1346.44,517128,5,0.327
*_,DRX.L,Drax Group plc,Utilities,Utilities Renewable,1.67,678.00 - 692.00,692.50 - 709.00,14.50 - 31.00,682.50,297.50,1492579,6,0.737
@_,DSCV.L,discoverIE Group plc,Technology,Electronic Components,1.20,650.00 - 700.00,666.00 - 708.00,16.00 - 58.00,707.00,556.50,159082,3,1.079
@_,DSW.L,DSW Capital plc,Industrials,Specialty Business Services,0.60,57.00 - 58.55,63.00 - 64.12,6.00 - 7.12,60.00,2316.52,30304,2,0.259
@_,DUKE.L,Duke Capital Limited,Financial Services,Asset Management,0.40,29.98 - 30.25,30.40 - 31.00,0.42 - 1.02,30.50,625.47,1086497,6,1.14
@_,DWHT.L,Dewhurst Group Plc,Industrials,Electrical Equipment & Parts,0.00,752.00 - 756.00,800.00 - 800.00,48.00 - 48.00,800.00,552.00,338,1,0.581
@_,DWL.L,Dowlais Group plc,Consumer Cyclical,Auto Parts,0.25,67.35 - 68.08,68.52 - 69.60,1.17 - 2.25,69.00,330.59,6106336,7,0.344
@_,DXRX.L,Diaceutics PLC,Healthcare,Health Information Services,0.57,114.10 - 116.80,118.00 - 120.00,3.90 - 5.90,118.50,1143.44,96485,3,0.796
*_,EAAS.L,eEnergy Group Plc,Industrials,Electrical Equipment & Parts,0.00,3.80 - 4.01,3.97 - 4.15,0.17 - 0.35,3.85,1633.93,2446865,6,0.935
*_,EAH.L,ECO Animal Health Group plc,Healthcare,Drug Manufacturers Specialty & Generic,0.29,55.56 - 59.88,57.00 - 60.55,1.44 - 4.99,57.00,787.01,47625,2,0.027
*_,EARN.L,EARNZ plc,Financial Services,Shell Companies,0.57,5.30 - 5.75,5.77 - 6.25,0.47 - 0.95,5.50,3080.35,574125,5,0.584
@_,EAT.L,European Assets Ord,Financial Services,Asset Management,3.00,92.60 - 92.60,95.00 - 95.00,2.40 - 2.40,94.60,127.20,1043030,6,UNKNOWN
@_,EBQ.L,Ebiquity plc,Communication Services,Advertising Agencies,0.00,23.17 - 23.17,23.50 - 23.50,0.33 - 0.33,23.50,70.95,9261,1,0.403
@_,ECEL.L,Eurocell plc,Industrials,Building Products & Equipment,0.80,153.00 - 157.50,155.45 - 161.50,2.45 - 8.50,157.50,565.30,178406,3,0.702
*_,ECO.L,Eco (Atlantic) Oil & Gas Ltd.,Energy,Oil & Gas E&P,0.33,8.75 - 9.42,9.00 - 9.55,0.25 - 0.80,8.90,267.75,658930,5,1.146
*_,ECOB.L,Eco Buildings Group plc,Basic Materials,Building Materials,0.00,3.25 - 3.70,3.40 - 3.79,0.15 - 0.54,3.40,352.29,300468,4,-0.285
@_,ECOR.L,Ecora Resources PLC,Basic Materials,Other Industrial Metals & Mining,0.17,61.92 - 63.60,62.85 - 65.25,0.92 - 3.33,65.00,696.60,263986,4,0.296
*_,ECR.L,ECR Minerals plc,Basic Materials,Gold,1.00,0.20 - 0.20,0.21 - 0.22,0.01 - 0.02,0.20,991.43,10051346,8,1.082
@_,EDEN.L,Eden Research plc,Basic Materials,Agricultural Inputs,3.00,3.50 - 3.67,3.80 - 3.95,0.30 - 0.45,3.75,818.95,147282,3,1.253
@_,EDV.L,Endeavour Mining plc,Basic Materials,Gold,1.75,2204.00 - 2276.00,2236.00 - 2332.00,32.00 - 128.00,2282.00,375.88,393943,4,0.506
@_,EEE.L,Empire Metals Limited,Basic Materials,Other Precious Metals & Mining,0.33,25.28 - 27.25,25.84 - 28.78,0.56 - 3.50,30.00,1143.05,3290801,6,1.607
@_,EGL.L,Ecofin Global Utilities & Infra Ord,Financial Services,Asset Management,3.00,213.00 - 213.00,216.00 - 216.00,3.00 - 3.00,216.00,69.00,166358,3,UNKNOWN
*_,EGT.L,UNKNOWN,Financial Services,Asset Management,0.00,7.00 - 7.05,7.25 - 7.25,0.25 - 0.25,6.85,320.30,39779,2,UNKNOWN
*_,EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices,0.29,26.10 - 26.55,26.70 - 27.40,0.60 - 1.30,26.10,1030.11,312313,4,0.283
@_,ELCO.L,Eleco plc,Technology,Software Application,1.20,161.71 - 171.10,163.82 - 173.00,2.11 - 11.29,173.50,601.40,115972,3,0.488
@_,ELIX.L,Elixirr International plc,Industrials,Consulting Services,0.83,698.30 - 723.50,708.00 - 735.00,9.70 - 36.70,730.00,510.32,78088,3,0.652
@_,ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance Life,0.00,143.23 - 143.44,144.79 - 149.00,1.56 - 5.77,143.50,294.78,116286,3,UNKNOWN
@_,ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,2.00,163.00 - 164.20,168.40 - 170.60,5.40 - 7.60,166.80,354.00,1429787,6,1.59
@_,EMAN.L,Everyman Media Group plc,Communication Services,Entertainment,3.00,39.19 - 39.20,39.70 - 40.00,0.51 - 0.81,39.50,166.37,8950,1,0.78
@_,EMG.L,Man Group Plc,Financial Services,Asset Management,1.67,170.40 - 171.50,173.70 - 175.90,3.30 - 5.50,173.80,345.10,3128163,6,0.646
@_,EMH.L,European Metals Holdings Limited,Basic Materials,Other Industrial Metals & Mining,0.22,7.57 - 7.80,7.89 - 8.15,0.33 - 0.58,8.00,1551.54,153865,3,UNKNOWN
*_,EML.L,Emmerson PLC,Basic Materials,Agricultural Inputs,0.43,1.80 - 1.85,1.94 - 2.00,0.14 - 0.20,1.85,2673.58,537085,5,UNKNOWN
*_,EMR.L,Empresaria Group plc,Industrials,Staffing & Employment Services,1.00,22.50 - 25.15,22.85 - 30.00,0.35 - 7.50,22.50,2445.04,50513,3,0.5
@_,EMVC.L,EMV Capital plc,Financial Services,Asset Management,0.71,45.70 - 47.30,46.55 - 48.80,0.85 - 3.10,48.00,889.82,15401,2,0.518
*_,ENOG.L,Energean plc,Energy,Oil & Gas E&P,1.25,908.50 - 929.00,919.00 - 948.50,10.50 - 40.00,917.00,316.25,672035,5,0.645
@_,ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P,0.67,12.42 - 12.72,12.96 - 13.04,0.54 - 0.62,13.03,469.08,3052516,6,0.438
@_,ENSI.L,EnSilica plc,Technology,Semiconductors,0.60,35.00 - 39.00,38.70 - 40.00,3.70 - 5.00,39.00,958.62,144225,3,0.49
@_,ENT.L,Entain Plc,Consumer Cyclical,Gambling,2.00,910.80 - 935.60,923.86 - 948.80,13.06 - 38.00,945.20,235.40,2127262,6,0.99
@_,ENW.L,Enwell Energy plc,Energy,Oil & Gas E&P,0.00,16.05 - 17.00,17.50 - 18.00,1.45 - 1.95,17.50,1646.85,25399,2,-0.281
@_,EOG.L,Europa Oil & Gas (Holdings) plc,Energy,Oil & Gas E&P,0.00,0.50 - 0.51,0.52 - 0.58,0.02 - 0.08,0.52,1674.56,2426391,6,-0.311
@_,EOT.L,European Opportunities Trust,Financial Services,Asset Management,6.00,923.00 - 923.00,947.00 - 947.00,24.00 - 24.00,947.00,120.00,87628,3,UNKNOWN
*_,EPP.L,EnergyPathways plc,Utilities,Utilities Regulated Gas,0.75,3.90 - 4.16,4.00 - 4.30,0.10 - 0.40,3.80,767.00,1702602,6,UNKNOWN
@_,EQT.L,EQTEC plc,Industrials,Specialty Industrial Machinery,0.50,0.49 - 0.52,0.54 - 0.55,0.05 - 0.06,0.52,3060.24,3169845,6,2.589
@_,ESCT.L,The European Smaller Companies Trust PLC,Financial Services,Asset Management,6.00,210.00 - 210.00,218.00 - 218.00,8.00 - 8.00,217.00,184.00,635768,5,UNKNOWN
*_,ESNT.L,Essentra plc,Basic Materials,Specialty Chemicals,1.00,108.20 - 112.80,111.00 - 115.20,2.80 - 7.00,109.88,359.95,993831,5,1.02
*_,ESP.L,Empiric Student Property Plc,Real Estate,REIT Residential,0.00,100.00 - 100.60,101.60 - 102.00,1.60 - 2.00,99.70,148.60,1424881,6,1.003
@_,EST.L,East Star Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.44,1.20 - 1.75,1.39 - 1.84,0.19 - 0.64,1.82,3192.49,5139996,7,-0.676
*_,ESYS.L,essensys plc,Technology,Software Application,0.00,25.05 - 26.70,25.50 - 28.00,0.45 - 2.95,25.50,332.65,28549,2,0.59
*_,ETP.L,Eneraqua Technologies plc,Utilities,Utilities Independent Power Producers,0.00,18.00 - 28.35,19.00 - 29.10,1.00 - 11.10,19.00,1803.29,82029,3,0.661
@_,EUA.L,Eurasia Mining Plc,Basic Materials,Other Precious Metals & Mining,1.33,3.95 - 4.89,5.02 - 5.30,1.07 - 1.35,4.70,2165.07,10438383,8,0.905
*_,EVOK.L,Evoke plc,Consumer Cyclical,Gambling,1.20,63.60 - 65.50,64.40 - 67.00,0.80 - 3.40,64.20,422.34,1459929,6,1.024
@_,EVPL.L,everplay group plc,Communication Services,Electronic Gaming & Multimedia,1.20,315.18 - 371.00,319.00 - 378.00,3.82 - 62.82,383.25,1187.56,719400,5,0.775
@_,EWI.L,Edinburgh Worldwide Ord,Financial Services,Asset Management,2.00,176.00 - 176.00,179.00 - 179.00,3.00 - 3.00,179.00,84.00,560058,5,UNKNOWN
@_,EXPN.L,Experian plc,Industrials,Consulting Services,1.33,3729.00 - 3839.77,3826.00 - 3945.00,97.00 - 216.00,3861.00,252.23,1262930,6,0.761
@_,EXR.L,ENGAGE XR Holdings plc,Technology,Software Application,0.33,0.91 - 0.91,1.02 - 1.04,0.11 - 0.13,1.00,2031.61,472526,4,-0.163
@_,EYE.L,Eagle Eye Solutions Group PLC,Technology,Software Application,0.00,193.35 - 201.70,203.60 - 210.00,10.25 - 16.65,210.00,1126.45,18833,2,0.526
*_,EZJ.L,easyJet plc,Industrials,Airlines,2.00,522.20 - 524.60,530.80 - 538.40,8.60 - 16.20,519.60,201.60,4997368,6,2.29
@_,FAB.L,Fusion Antibodies plc,Healthcare,Biotechnology,0.43,6.00 - 6.45,6.37 - 6.57,0.37 - 0.57,6.40,1249.19,387404,4,0.522
@_,FAN.L,Volution Group plc,Industrials,Building Products & Equipment,1.67,591.00 - 619.00,601.00 - 625.56,10.00 - 34.56,619.00,380.48,521362,5,1.127
*_,FAR.L,Ferro-Alloy Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.40,6.60 - 7.30,6.90 - 7.60,0.30 - 1.00,7.00,1315.64,313762,4,0.58
*_,FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology,0.25,210.00 - 216.00,217.50 - 220.00,7.50 - 10.00,207.50,609.50,9461,1,1.176
@_,FAS.L,Fidelity Asian Values Ord,Financial Services,Asset Management,8.00,536.00 - 536.00,548.00 - 548.00,12.00 - 12.00,548.00,108.00,54413,3,UNKNOWN
*_,FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services,2.00,124.25 - 124.30,126.20 - 129.47,1.95 - 5.22,121.46,284.80,268940,4,0.606
@_,FCIT.L,F&C Investment Trust Ord,Financial Services,Asset Management,3.00,1116.00 - 1116.00,1136.00 - 1136.00,20.00 - 20.00,1134.00,80.00,291404,4,UNKNOWN
@_,FCM.L,First Class Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.00,2.00 - 2.01,2.10 - 2.14,0.09 - 0.13,2.10,823.11,557247,5,UNKNOWN
@_,FCSS.L,Fidelity China Special Ord,Financial Services,Asset Management,7.00,254.50 - 254.50,261.50 - 261.50,7.00 - 7.00,261.50,133.00,693453,5,UNKNOWN
@_,FDBK.L,Feedback plc,Healthcare,Health Information Services,1.00,13.75 - 14.15,14.50 - 14.50,0.75 - 0.75,14.50,395.80,47998,2,0.011
@_,FDEV.L,Frontier Developments plc,Communication Services,Electronic Gaming & Multimedia,0.50,317.13 - 355.00,321.50 - 360.00,4.37 - 42.87,360.00,955.52,112565,3,-0.134
*_,FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services,0.00,219.00 - 219.15,222.00 - 225.60,3.00 - 6.60,210.50,207.90,235266,4,0.759
@_,FEML.L,Fidelity Emerging Markets Ord,Financial Services,Asset Management,4.00,797.00 - 797.00,813.00 - 813.00,16.00 - 16.00,813.00,96.00,UNKNOWN,0,UNKNOWN
@_,FEN.L,Frenkel Topping Group Plc,Financial Services,Asset Management,4.00,46.10 - 46.55,47.50 - 48.40,1.40 - 2.30,47.00,350.05,21347,2,-0.103
@_,FEV.L,Fidelity European Trust Ord,Financial Services,Asset Management,3.00,404.50 - 404.50,409.00 - 409.00,4.50 - 4.50,406.50,54.00,720035,5,UNKNOWN
*_,FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages Non-Alcoholic,2.00,923.92 - 935.00,947.00 - 948.00,23.08 - 24.08,893.00,180.40,307470,4,1.061
*_,FGP.L,FirstGroup plc,Industrials,Railroads,1.50,219.40 - 222.41,223.60 - 225.80,4.20 - 6.40,219.60,166.98,2391843,6,1.234
@_,FIH.L,FIH group plc,Industrials,Conglomerates,1.00,181.00 - 188.00,190.00 - 200.00,9.00 - 19.00,195.00,874.50,2489,1,-0.001
*_,FIN.L,Finseta Plc,Technology,Software Infrastructure,0.50,23.00 - 30.50,23.59 - 31.05,0.59 - 8.05,25.00,852.79,624929,5,1.57
@_,FIPP.L,Frontier IP Group Plc,Financial Services,Asset Management,0.50,19.41 - 20.23,20.47 - 21.00,1.06 - 1.59,21.00,1762.42,80465,3,0.337
@_,FJV.L,Fidelity Japan Trust Ord,Financial Services,Asset Management,2.00,187.00 - 187.00,189.00 - 189.00,2.00 - 2.00,189.00,52.00,41181,2,UNKNOWN
*_,FLO.L,Flowtech Fluidpower plc,Industrials,Industrial Distribution,0.80,64.41 - 65.45,65.40 - 67.00,0.99 - 2.59,64.50,610.04,94466,3,0.541
@_,FME.L,Future Metals NL,Basic Materials,Other Precious Metals & Mining,0.00,0.76 - 0.79,0.82 - 0.84,0.06 - 0.08,0.82,2011.94,567177,5,1.01
@_,FMET.L,Fulcrum Metals plc,Basic Materials,Other Precious Metals & Mining,0.00,4.50 - 4.51,4.55 - 4.75,0.05 - 0.25,4.55,876.97,74599,3,0.526
*_,FNTL.L,Fintel Plc,Industrials,Consulting Services,0.25,248.21 - 252.04,257.00 - 268.00,8.79 - 19.79,252.00,890.37,67837,3,0.967
@_,FNX.L,Fonix Plc,Technology,Software Infrastructure,3.00,225.55 - 226.00,228.40 - 229.00,2.85 - 3.45,227.00,128.70,84562,3,0.629
*_,FOG.L,Falcon Oil & Gas Ltd.,Energy,Oil & Gas E&P,0.67,6.60 - 6.90,6.99 - 7.29,0.39 - 0.69,6.60,817.35,97555,3,-0.154
@_,FORT.L,Forterra plc,Basic Materials,Building Materials,0.75,188.90 - 198.00,193.60 - 201.50,4.70 - 12.60,197.80,409.70,547935,5,0.837
@_,FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies,1.00,3630.00 - 3655.00,3700.00 - 3820.00,70.00 - 190.00,3710.00,314.95,88759,3,0.71
*_,FOXT.L,Foxtons Group plc,Real Estate,Real Estate Services,1.00,61.90 - 64.40,62.90 - 65.21,1.00 - 3.31,62.70,199.97,424924,4,1.324
@_,FPO.L,First Property Group plc,Real Estate,Real Estate Services,0.00,14.66 - 14.73,15.25 - 15.90,0.59 - 1.23,15.25,791.68,57903,3,0.142
@_,FPP.L,Fragrant Prosperity Holdings Limited,Financial Services,Shell Companies,0.75,1.00 - 1.05,1.07 - 1.10,0.07 - 0.10,1.05,1073.03,16899573,8,1.342
@_,FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services,0.80,149.10 - 151.50,152.00 - 155.75,2.90 - 6.65,153.00,532.95,186582,3,0.423
@_,FRAS.L,Frasers Group Plc,Consumer Cyclical,Specialty Retail,2.00,657.50 - 657.50,665.50 - 665.50,8.00 - 8.00,658.00,56.00,200167,4,1.336
@_,FRES.L,Fresnillo plc,Basic Materials,Other Precious Metals & Mining,1.00,1426.00 - 1482.30,1460.00 - 1530.30,34.00 - 104.30,1506.00,480.00,1101878,6,0.246
*_,FRG.L,Firering Strategic Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.00,2.16 - 2.23,2.30 - 2.39,0.14 - 0.23,2.15,1362.78,740191,5,0.828
*_,FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,2.50,123.01 - 123.31,125.00 - 125.50,1.99 - 2.49,122.99,167.20,362541,4,0.2
@_,FSFL.L,Foresight Solar Ord,Financial Services,Asset Management,3.00,84.60 - 84.60,87.60 - 87.60,3.00 - 3.00,87.60,177.00,UNKNOWN,0,UNKNOWN
@_,FSG.L,Foresight Group Holdings Limited,Financial Services,Asset Management,1.50,439.50 - 452.81,454.50 - 461.00,15.00 - 21.50,455.50,386.10,266178,4,0.496
*_,FSJ.L,James Fisher and Sons plc,Industrials,Marine Shipping,0.50,349.00 - 353.00,356.75 - 359.00,7.75 - 10.00,347.00,538.86,18808,2,0.387
*_,FSTA.L,Fuller  Smith & Turner P.L.C.,Consumer Cyclical,Restaurants,1.00,575.81 - 576.00,585.70 - 592.74,9.89 - 16.94,568.00,213.04,28218,2,0.682
@_,FSV.L,Fidelity Special Values Ord,Financial Services,Asset Management,6.00,365.50 - 365.50,370.50 - 370.50,5.00 - 5.00,369.00,65.00,636591,5,UNKNOWN
@_,FTC.L,Filtronic plc,Technology,Communication Equipment,2.00,150.49 - 150.57,153.62 - 168.00,3.12 - 17.51,164.50,678.48,1433558,6,0.551
@_,FUM.L,Futura Medical plc,Healthcare,Biotechnology,0.44,7.50 - 11.80,7.79 - 14.00,0.29 - 6.50,11.85,5083.50,1573769,6,0.833
@_,FUTR.L,Future plc,Communication Services,Publishing,2.00,704.00 - 711.68,731.00 - 756.00,27.00 - 52.00,731.00,499.24,618427,5,0.862
*_,FXPO.L,Ferrexpo plc,Basic Materials,Steel,0.50,46.90 - 47.90,48.15 - 49.20,1.25 - 2.30,46.55,537.22,1960091,6,1.006
*_,G4M.L,Gear4music (Holdings) plc,Consumer Cyclical,Internet Retail,0.00,230.00 - 232.21,236.00 - 239.70,6.00 - 9.70,218.00,415.59,26287,2,0.911
*_,GAID.L,UNKNOWN,UNKNOWN,UNKNOWN,3.50,12.95 - 13.35,13.25 - 13.50,0.30 - 0.55,12.70,171.90,UNKNOWN,0,UNKNOWN
*_,GAL.L,Galantas Gold Corporation,Basic Materials,Gold,0.43,3.02 - 3.60,3.48 - 3.84,0.46 - 0.82,3.25,3791.08,28048,2,2.041
*_,GAMA.L,Gamma Communications plc,Communication Services,Telecom Services,0.00,1106.00 - 1128.00,1132.00 - 1141.95,26.00 - 35.95,1086.00,159.80,337869,4,0.532
@_,GATC.L,Gattaca plc,Industrials,Staffing & Employment Services,0.80,77.50 - 79.10,78.98 - 81.00,1.48 - 3.50,81.00,449.67,25474,2,1.719
@_,GBG.L,GB Group plc,Technology,Software Application,3.00,229.50 - 230.50,235.50 - 241.65,6.00 - 12.15,238.00,360.15,1522312,6,0.006
@_,GCM.L,GCM Resources Plc,Energy,Thermal Coal,0.29,4.00 - 4.62,4.22 - 5.47,0.22 - 1.47,4.95,2656.13,1046478,6,0.573
@_,GCP.L,GCP Infrastructure Investment Ord,Financial Services,Asset Management,6.00,74.20 - 74.20,76.50 - 76.50,2.30 - 2.30,76.30,154.10,UNKNOWN,0,UNKNOWN
@_,GDP.L,Goldplat PLC,Basic Materials,Gold,1.67,6.00 - 6.25,6.72 - 6.98,0.72 - 0.98,6.50,1933.46,182415,3,-0.173
@_,GDR.L,genedrive plc,Healthcare,Diagnostics & Research,0.00,1.35 - 1.41,1.42 - 1.50,0.07 - 0.15,1.42,2828.16,1555707,6,0.283
*_,GELN.L,Gelion plc,Industrials,Electrical Equipment & Parts,0.20,23.05 - 24.05,24.00 - 26.00,0.95 - 2.95,23.50,1540.63,45325,2,-0.142
*_,GEM.L,Gemfields Group Limited,Basic Materials,Other Precious Metals & Mining,0.20,6.60 - 7.18,6.74 - 7.30,0.14 - 0.70,6.03,525.34,529985,5,0.091
@_,GEMD.L,Gem Diamonds Limited,Basic Materials,Other Precious Metals & Mining,0.67,6.40 - 6.50,6.58 - 6.78,0.18 - 0.38,6.54,1008.48,190352,3,1.2
@_,GEMR.L,Gem Resources Plc,Basic Materials,Other Precious Metals & Mining,0.00,0.17 - 0.17,0.39 - 0.39,0.21 - 0.21,0.25,6285.62,9379321,7,0.117
@_,GEN.L,Genuit Group plc,Industrials,Building Products & Equipment,0.00,375.00 - 385.50,395.00 - 404.00,20.00 - 29.00,387.50,491.00,542488,5,1.402
@_,GENF.L,Genflow Biosciences plc,Healthcare,Biotechnology,1.00,0.65 - 0.65,0.72 - 0.80,0.07 - 0.15,0.70,1690.50,11407162,8,2.208
@_,GENI.L,GENinCode Plc,Healthcare,Diagnostics & Research,0.00,1.57 - 1.85,1.90 - 1.99,0.33 - 0.43,2.00,3801.94,365678,4,0.645
*_,GENL.L,Genel Energy plc,Energy,Oil & Gas E&P,0.50,59.50 - 66.10,63.60 - 68.51,4.10 - 9.01,62.29,1061.17,594185,5,0.524
@_,GEO.L,Geo Exploration Limited,Energy,Oil & Gas E&P,9.00,0.12 - 0.12,0.20 - 0.20,0.08 - 0.08,0.19,3225.76,103820944,10,-0.193
@_,GETB.L,GetBusy plc,Technology,Software Application,0.50,49.00 - 49.00,50.00 - 51.00,1.00 - 2.00,50.00,306.00,8472,1,0.106
@_,GEX.L,Georgina Energy PLC,Basic Materials,Other Industrial Metals & Mining,0.00,5.50 - 5.75,6.00 - 6.69,0.50 - 1.19,6.75,4499.99,1004619,6,UNKNOWN
*_,GFM.L,Griffin Mining Limited,Basic Materials,Other Industrial Metals & Mining,0.40,189.49 - 194.60,192.00 - 200.86,2.51 - 11.37,193.00,514.14,161920,3,0.618
@_,GFRD.L,Galliford Try Holdings plc,Industrials,Engineering & Construction,1.00,411.80 - 430.00,418.50 - 449.85,6.70 - 38.05,451.50,556.99,177472,3,0.872
*_,GFTU.L,Grafton Group plc,Industrials,Industrial Distribution,2.00,911.60 - 991.50,936.80 - 1002.40,25.20 - 90.80,910.60,295.50,425077,4,1.408
*_,GGP.L,Greatland Resources Limited,Basic Materials,Gold,0.00,306.99 - 326.00,314.00 - 331.61,7.01 - 24.62,320.50,310.23,3081284,6,1.115
@_,GHH.L,Gooch & Housego PLC,Technology,Electronic Components,1.25,600.00 - 619.70,618.47 - 628.00,18.47 - 28.00,620.00,373.92,37034,2,0.507
*_,GKP.L,Gulf Keystone Petroleum Limited,Energy,Oil & Gas E&P,1.00,167.86 - 179.77,179.48 - 185.80,11.62 - 17.94,165.00,668.79,1164493,6,0.534
*_,GLB.L,Glanbia plc,Consumer Defensive,Packaged Foods,1.00,12.60 - 12.98,12.93 - 13.20,0.33 - 0.60,12.75,509.24,38590,2,0.657
@_,GLE.L,MJ Gleeson plc,Consumer Cyclical,Residential Construction,2.00,363.17 - 365.20,370.00 - 371.50,6.83 - 8.33,372.00,170.69,226365,4,0.747
@_,GLEN.L,Glencore plc,Basic Materials,Other Industrial Metals & Mining,0.33,298.65 - 302.25,306.65 - 312.50,8.00 - 13.85,312.42,459.20,46228886,8,0.903
@_,GLR.L,Galileo Resources Plc,Basic Materials,Other Industrial Metals & Mining,2.00,0.82 - 0.82,0.92 - 0.92,0.10 - 0.10,0.85,609.70,460096,4,0.662
@_,GLV.L,Glenveagh Properties PLC,Consumer Cyclical,Residential Construction,1.67,1.71 - 1.76,1.78 - 1.85,0.07 - 0.13,1.84,610.67,14573,2,0.764
@_,GMET.L,Guardian Metal Resources PLC,Basic Materials,Other Precious Metals & Mining,0.80,57.38 - 63.80,59.80 - 68.80,2.42 - 11.43,65.20,1290.00,241277,4,-0.063
@_,GMR.L,Gaming Realms plc,Communication Services,Electronic Gaming & Multimedia,1.00,51.20 - 52.08,52.74 - 53.15,1.54 - 1.95,52.60,424.96,554558,5,0.851
*_,GMS.L,Gulf Marine Services PLC,Energy,Oil & Gas Equipment & Services,0.71,19.43 - 20.15,19.80 - 20.37,0.37 - 0.94,19.88,664.20,1095089,6,0.894
@_,GNC.L,Greencore Group plc,Consumer Defensive,Packaged Foods,2.00,230.00 - 231.50,233.00 - 234.50,3.00 - 4.50,233.50,220.50,1178248,6,1.124
@_,GNIP.L,GenIP plc,Industrials,Specialty Business Services,1.50,28.01 - 30.02,30.98 - 31.47,2.97 - 3.46,30.00,775.24,40788,2,UNKNOWN
@_,GNS.L,Genus plc,Healthcare,Biotechnology,1.25,1996.00 - 2175.00,2175.00 - 2215.00,179.00 - 219.00,2205.00,609.74,158356,3,0.598
*_,GPE.L,Great Portland Estates Plc,Real Estate,REIT Office,0.00,339.50 - 340.62,344.50 - 348.50,5.00 - 9.00,333.00,180.32,758078,5,0.8
