I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
*_,CUSN.L,Cornish Metals Inc.,Basic Materials,Other Industrial Metals & Mining,0.07,7.20 - 7.42,7.44 - 7.70,0.24 - 0.50,7.40,3738.52,322760,4,0.661,28
@_,CVSG.L,CVS Group plc,Consumer Cyclical,Personal Services,0.25,1220.88 - 1256.00,1240.00 - 1274.00,19.12 - 53.12,1292.00,377.44,91269,3,1.053,4
@_,CWR.L,Ceres Power Holdings plc,Industrials,Electrical Equipment & Parts,0.43,111.00 - 114.80,113.73 - 119.32,2.73 - 8.32,118.96,945.97,759311,5,1.79,7
*_,CYAN.L,CyanConnode Holdings plc,Technology,Communication Equipment,0.50,7.22 - 7.65,7.55 - 8.00,0.33 - 0.78,7.25,1466.73,236828,4,1.236,6
@_,CYK.L,Cykel AI Development Limited,Technology,Software Infrastructure,0.00,1.38 - 1.41,1.48 - 1.50,0.10 - 0.12,1.42,682.77,4358727,6,UNKNOWN,2
@_,CYN.L,CQS Natural Resources G&I Ord,Financial Services,Asset Management,1.50,218.00 - 222.00,221.90 - 225.60,3.90 - 7.60,225.50,307.78,97168,3,UNKNOWN,4
@_,DATA.L,GlobalData Plc,Industrials,Consulting Services,0.12,129.30 - 132.49,131.00 - 135.00,1.70 - 5.70,133.50,577.99,1135009,6,0.376,8
@_,DBOX.L,Digitalbox plc,Communication Services,Internet Content & Information,0.00,4.65 - 4.73,4.95 - 5.26,0.30 - 0.61,4.95,882.71,20027,2,-0.065,2
@_,DCC.L,DCC plc,Energy,Oil & Gas Refining & Marketing,1.33,4700.00 - 4782.00,4780.62 - 4832.00,80.62 - 132.00,4826.00,238.62,265318,4,0.66,3
*_,DCTA.L,Directa Plus Plc,Basic Materials,Specialty Chemicals,0.25,11.50 - 11.58,11.98 - 12.00,0.48 - 0.50,11.50,1691.34,74344,3,0.846,8
@_,DEBS.L,boohoo group plc,Consumer Cyclical,Internet Retail,0.67,13.90 - 14.00,14.27 - 15.53,0.37 - 1.63,14.68,795.80,6227302,7,1.403,3
@_,DEC.L,Diversified Energy Company PLC,Energy,Oil & Gas Integrated,1.00,1118.78 - 1202.00,1132.00 - 1223.00,13.22 - 104.22,1225.00,701.72,158662,3,0.054,7
@_,DELT.L,Deltic Energy Plc,Energy,Oil & Gas E&P,0.50,7.07 - 7.17,7.50 - 7.50,0.43 - 0.43,7.15,1646.14,464215,4,1.248,6
@_,DEVO.L,Devolver Digital  Inc.,Communication Services,Electronic Gaming & Multimedia,3.00,23.11 - 23.11,23.50 - 25.00,0.39 - 1.89,23.50,492.48,37599,2,-0.315,2
@_,DFCH.L,Distribution Finance Capital Holdings plc,Financial Services,Credit Services,0.00,44.00 - 44.24,44.68 - 46.00,0.68 - 2.00,45.00,1089.32,140236,3,0.852,9
@_,DFS.L,DFS Furniture plc,Consumer Cyclical,Specialty Retail,0.50,155.00 - 157.22,159.50 - 160.50,4.50 - 5.50,158.00,431.68,178666,3,1.056,4
@_,DGE.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,1.00,2023.00 - 2106.00,2053.00 - 2136.00,30.00 - 113.00,2127.00,330.68,3766726,6,0.262,4
@_,DGED.L,Diageo plc,Consumer Defensive,Beverages Wineries & Distilleries,1.25,109.76 - 113.76,111.65 - 115.93,1.89 - 6.17,116.01,460.04,5456,1,0.262,4
*_,DGI9.L,Digital 9 Infrastructure Ord,Financial Services,Asset Management,0.67,9.50 - 9.65,9.76 - 9.84,0.26 - 0.34,9.30,302.73,998759,5,UNKNOWN,3
@_,DIA.L,Dialight plc,Industrials,Electrical Equipment & Parts,0.60,182.71 - 188.00,193.00 - 199.00,10.29 - 16.29,199.00,1123.25,7924,1,0.507,5
@_,DIAL.L,Diales Group Plc,Industrials,Consulting Services,0.00,18.10 - 19.25,19.00 - 19.59,0.90 - 1.49,19.00,657.41,43521,2,0.444,3
@_,DIG.L,Dunedin Income Growth Ord,Financial Services,Asset Management,2.67,293.00 - 298.00,296.00 - 302.00,3.00 - 9.00,300.26,182.66,225602,4,UNKNOWN,3
@_,DIS.L,Distil Plc,Consumer Defensive,Beverages Wineries & Distilleries,9.00,0.16 - 0.16,0.27 - 0.27,0.10 - 0.10,0.24,3403.40,2547585,6,0.72,1
@_,DIVI.L,Diverse Income Trust Ord,Financial Services,Asset Management,0.14,100.18 - 102.10,101.50 - 104.00,1.32 - 3.82,103.00,472.91,355374,4,UNKNOWN,7
@_,DKL.L,Dekel Agri-Vision plc,Consumer Defensive,Farm Products,2.00,0.47 - 0.47,0.50 - 0.50,0.03 - 0.03,0.50,315.78,1501161,6,0.856,1
@_,DLN.L,Derwent London Plc,Real Estate,REIT Office,2.00,1731.00 - 1733.00,1763.88 - 1768.00,32.88 - 37.00,1759.00,135.76,412715,4,1.152,2
@_,DNLM.L,Dunelm Group plc,Consumer Cyclical,Specialty Retail,2.33,1192.50 - 1210.00,1206.00 - 1235.00,13.50 - 42.50,1224.00,218.00,394433,4,0.819,3
@_,DNM.L,Dianomi plc,Communication Services,Advertising Agencies,0.00,24.40 - 25.00,25.50 - 26.50,1.10 - 2.10,25.50,524.40,4550,1,0.285,2
@_,DOCS.L,Dr. Martens plc,Consumer Cyclical,Footwear & Accessories,0.17,75.43 - 90.05,76.80 - 91.10,1.37 - 15.67,91.30,1899.28,1006608,6,0.177,18
@_,DOM.L,Domino's Pizza Group plc,Consumer Cyclical,Restaurants,1.67,200.76 - 205.16,204.40 - 208.80,3.64 - 8.04,207.60,251.52,1903049,6,0.929,3
@_,DORE.L,Downing Renewables & Infrastructure Ord,Utilities,Utilities Renewable,3.00,101.70 - 101.70,103.00 - 103.00,1.30 - 1.30,102.25,63.70,300937,4,UNKNOWN,1
*_,DOTD.L,dotdigital Group Plc,Technology,Software Application,0.07,68.00 - 70.31,69.15 - 72.00,1.15 - 4.00,69.80,1697.91,511753,5,1.279,15
@_,DPP.L,DP Poland Plc,Consumer Cyclical,Restaurants,0.00,9.50 - 9.67,9.75 - 10.50,0.25 - 1.00,9.75,3531.39,179404,3,0.35,15
@_,DRX.L,Drax Group plc,Utilities,Utilities Renewable,2.33,679.50 - 698.00,703.00 - 705.50,23.50 - 26.00,704.00,276.50,1022177,6,0.729,3
*_,DSCV.L,discoverIE Group plc,Technology,Electronic Components,1.67,633.00 - 659.00,641.00 - 668.00,8.00 - 35.00,648.00,189.00,186828,3,1.05,3
@_,DSW.L,DSW Capital plc,Industrials,Specialty Business Services,3.00,56.00 - 58.00,61.22 - 61.95,5.22 - 5.95,58.00,806.47,11855,2,0.284,2
@_,DUKE.L,Duke Capital Limited,Financial Services,Asset Management,0.11,29.50 - 30.00,30.25 - 30.50,0.75 - 1.00,29.88,1641.71,358322,4,1.182,19
@_,DWHA.L,Dewhurst Group Plc,Industrials,Electrical Equipment & Parts,0.00,600.00 - 608.35,625.00 - 634.00,25.00 - 34.00,625.00,601.68,11120,2,0.568,3
@_,DWHT.L,Dewhurst Group Plc,Industrials,Electrical Equipment & Parts,0.43,740.00 - 771.00,770.00 - 838.00,30.00 - 98.00,790.00,1674.00,5105,1,0.568,7
@_,DWL.L,Dowlais Group plc,Consumer Cyclical,Auto Parts,0.25,74.00 - 75.85,75.90 - 76.70,1.90 - 2.70,78.90,303.80,2724568,6,0.295,4
@_,DXRX.L,Diaceutics PLC,Healthcare,Health Information Services,0.80,135.00 - 137.58,137.50 - 140.00,2.50 - 5.00,137.50,661.62,173629,3,0.731,5
@_,EAAS.L,eEnergy Group Plc,Industrials,Electrical Equipment & Parts,0.05,3.74 - 5.46,3.87 - 5.60,0.13 - 1.86,5.50,7216.96,8737093,7,0.933,37
@_,EAH.L,ECO Animal Health Group plc,Healthcare,Drug Manufacturers Specialty & Generic,5.00,73.00 - 73.00,74.00 - 74.00,1.00 - 1.00,73.50,68.00,52584,3,-0.011,1
@_,EARN.L,EARNZ plc,Financial Services,Shell Companies,0.00,4.00 - 4.32,4.37 - 4.50,0.37 - 0.50,4.50,2473.39,120549,3,0.612,8
@_,EAT.L,European Assets Ord,Financial Services,Asset Management,2.33,95.50 - 95.90,96.60 - 97.00,1.10 - 1.50,96.20,188.24,534067,5,UNKNOWN,3
@_,EBQ.L,Ebiquity plc,Communication Services,Advertising Agencies,1.00,20.00 - 20.25,20.50 - 20.50,0.50 - 0.50,20.50,186.50,82349,3,0.411,2
*_,ECEL.L,Eurocell plc,Industrials,Building Products & Equipment,1.00,148.00 - 150.92,152.16 - 156.50,4.16 - 8.50,147.50,887.37,68192,3,0.703,6
@_,ECO.L,Eco (Atlantic) Oil & Gas Ltd.,Energy,Oil & Gas E&P,0.38,8.20 - 8.55,8.40 - 8.80,0.20 - 0.60,8.60,887.65,506430,5,1.153,8
*_,ECOB.L,Eco Buildings Group plc,Basic Materials,Building Materials,0.50,2.96 - 3.36,3.10 - 3.50,0.14 - 0.54,3.00,1745.23,128754,3,-0.158,6
*_,ECOR.L,Ecora Resources PLC,Basic Materials,Other Industrial Metals & Mining,0.57,71.30 - 74.50,72.43 - 76.17,1.13 - 4.87,72.70,540.36,408807,4,0.3,7
@_,ECR.L,ECR Minerals plc,Basic Materials,Gold,0.00,0.20 - 0.20,0.21 - 0.22,0.01 - 0.02,0.22,5466.93,16240204,8,0.906,18
*_,EDEN.L,Eden Research plc,Basic Materials,Agricultural Inputs,0.67,3.10 - 3.34,3.40 - 3.50,0.30 - 0.40,3.15,1003.74,336257,4,1.288,3
@_,EDIN.L,Edinburgh Investment Ord,Financial Services,Asset Management,2.00,789.00 - 806.20,798.00 - 815.04,9.00 - 26.04,815.93,213.60,191215,3,UNKNOWN,4
@_,EDV.L,Endeavour Mining plc,Basic Materials,Gold,1.67,2422.00 - 2448.00,2450.00 - 2538.00,28.00 - 116.00,2556.00,448.00,380344,4,0.47,3
*_,EEE.L,Empire Metals Limited,Basic Materials,Other Precious Metals & Mining,0.03,29.00 - 39.62,29.75 - 40.33,0.75 - 11.33,37.00,7184.72,3793737,6,1.772,63
@_,EGL.L,Ecofin Global Utilities & Infra Ord,Financial Services,Asset Management,2.00,218.00 - 219.28,220.67 - 222.00,2.67 - 4.00,222.00,251.02,185320,3,UNKNOWN,4
@_,EGT.L,UNKNOWN,Financial Services,Asset Management,0.00,6.50 - 6.68,6.75 - 7.00,0.25 - 0.50,6.75,599.91,30752,2,UNKNOWN,3
@_,EKF.L,EKF Diagnostics Holdings plc,Healthcare,Medical Devices,0.00,26.00 - 26.46,26.77 - 27.90,0.77 - 1.90,27.05,513.06,107031,3,0.248,3
*_,ELCO.L,Eleco plc,Technology,Software Application,0.00,160.00 - 167.00,162.00 - 169.50,2.00 - 9.50,159.50,315.50,49693,2,0.479,4
@_,ELIX.L,Elixirr International plc,Industrials,Consulting Services,0.40,670.00 - 686.50,680.00 - 695.00,10.00 - 25.00,705.40,755.65,24633,2,0.62,10
@_,ELLA.L,Ecclesiastical Insurance Office plc,Financial Services,Insurance Life,1.67,144.00 - 146.50,147.50 - 148.00,3.50 - 4.00,146.00,238.00,96546,3,UNKNOWN,3
@_,ELM.L,Elementis plc,Basic Materials,Specialty Chemicals,2.00,164.60 - 164.60,168.72 - 168.72,4.12 - 4.12,168.60,123.60,632638,5,1.588,1
*_,EMAN.L,Everyman Media Group plc,Communication Services,Entertainment,0.83,41.02 - 42.50,41.88 - 43.00,0.86 - 1.98,42.00,634.83,17847,2,0.817,6
@_,EMG.L,Man Group Plc,Financial Services,Asset Management,1.33,158.20 - 164.30,160.44 - 166.00,2.24 - 7.80,165.70,407.14,4143907,6,0.651,6
*_,EMH.L,European Metals Holdings Limited,Basic Materials,Other Industrial Metals & Mining,0.14,8.25 - 9.87,8.40 - 10.50,0.15 - 2.25,8.25,1788.23,306967,4,UNKNOWN,7
@_,EML.L,Emmerson PLC,Basic Materials,Agricultural Inputs,0.30,1.75 - 2.05,1.90 - 2.20,0.15 - 0.45,2.05,3905.97,509031,5,0.902,10
@_,EMR.L,Empresaria Group plc,Industrials,Staffing & Employment Services,0.00,40.00 - 40.41,41.00 - 41.90,1.00 - 1.90,41.00,964.63,43687,2,0.358,7
@_,EMVC.L,EMV Capital plc,Financial Services,Asset Management,0.00,45.25 - 46.00,46.00 - 50.00,0.75 - 4.75,46.00,514.50,12183,2,0.447,2
@_,ENOG.L,Energean plc,Energy,Oil & Gas E&P,1.00,909.00 - 939.50,928.50 - 949.50,19.50 - 40.50,946.50,370.00,195919,3,0.652,5
*_,ENQ.L,EnQuest PLC,Energy,Oil & Gas E&P,0.29,12.37 - 12.74,12.52 - 12.92,0.15 - 0.55,12.73,469.77,1961755,6,0.442,7
*_,ENRG.L,VH Global Energy Infrastructure Ord,Financial Services,Asset Management,0.25,68.32 - 70.00,69.20 - 70.80,0.88 - 2.48,69.60,535.62,431690,4,UNKNOWN,8
*_,ENSI.L,EnSilica plc,Technology,Semiconductors,0.33,43.97 - 46.50,44.99 - 47.96,1.01 - 3.98,42.50,911.85,99597,3,0.446,9
*_,ENT.L,Entain Plc,Consumer Cyclical,Gambling,0.00,914.80 - 914.80,927.80 - 927.80,13.00 - 13.00,881.00,65.00,1801921,6,1.0,1
@_,ENW.L,Enwell Energy plc,Energy,Oil & Gas E&P,0.57,18.44 - 21.45,21.50 - 23.00,3.06 - 4.56,20.00,3412.19,38915,2,-0.269,7
*_,EOG.L,Europa Oil & Gas (Holdings) plc,Energy,Oil & Gas E&P,0.10,0.68 - 0.71,0.71 - 0.79,0.03 - 0.11,0.70,2074.79,7396791,7,-0.339,10
@_,EOT.L,European Opportunities Trust,Financial Services,Asset Management,1.67,926.49 - 940.49,937.00 - 951.00,10.51 - 24.51,949.00,169.85,43607,2,UNKNOWN,3
*_,EPP.L,EnergyPathways plc,Utilities,Utilities Regulated Gas,0.17,2.50 - 5.24,2.60 - 5.48,0.10 - 2.98,2.45,5379.49,10313740,8,UNKNOWN,6
*_,EQT.L,EQTEC plc,Industrials,Specialty Industrial Machinery,0.00,0.45 - 0.49,0.50 - 0.55,0.05 - 0.10,0.45,7209.63,1059325,6,2.655,13
@_,ESCT.L,The European Smaller Companies Trust PLC,Financial Services,Asset Management,2.50,215.25 - 215.50,217.68 - 218.50,2.43 - 3.25,217.00,124.89,439956,4,UNKNOWN,2
@_,ESNT.L,Essentra plc,Basic Materials,Specialty Chemicals,1.50,99.90 - 104.40,101.10 - 106.00,1.20 - 6.10,105.76,430.00,735912,5,1.026,4
@_,ESP.L,Empiric Student Property Plc,Real Estate,REIT Residential,2.33,90.60 - 93.17,93.70 - 94.30,3.10 - 3.70,93.80,328.09,5168915,7,1.007,3
@_,EST.L,East Star Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.71,1.62 - 1.75,1.78 - 1.89,0.16 - 0.27,1.75,2375.76,770446,5,-0.756,7
@_,ESYS.L,essensys plc,Technology,Software Application,0.00,20.60 - 21.11,21.50 - 22.00,0.90 - 1.40,22.00,543.97,6528,1,0.627,3
*_,EUA.L,Eurasia Mining Plc,Basic Materials,Other Precious Metals & Mining,0.07,4.84 - 5.50,4.98 - 5.61,0.13 - 0.77,4.38,4558.20,10111909,8,0.768,40
*_,EVOK.L,Evoke plc,Consumer Cyclical,Gambling,0.00,60.00 - 65.00,64.60 - 66.10,4.60 - 6.10,58.70,595.03,1109227,6,1.004,3
@_,EVPL.L,everplay group plc,Communication Services,Electronic Gaming & Multimedia,1.00,374.00 - 374.00,378.00 - 395.00,4.00 - 21.00,377.00,379.99,395282,4,0.728,3
@_,EWI.L,Edinburgh Worldwide Ord,Financial Services,Asset Management,1.25,187.80 - 191.96,189.90 - 194.80,2.10 - 7.00,192.20,262.60,825284,5,UNKNOWN,4
@_,EXPN.L,Experian plc,Industrials,Consulting Services,2.00,3773.00 - 3841.00,3831.00 - 3898.00,58.00 - 125.00,3870.00,177.67,1112404,6,0.756,3
@_,EXR.L,ENGAGE XR Holdings plc,Technology,Software Application,0.33,0.95 - 0.98,1.08 - 1.10,0.13 - 0.15,1.02,1809.85,102490,3,-0.148,3
*_,EYE.L,Eagle Eye Solutions Group PLC,Technology,Software Application,0.33,220.48 - 226.20,223.55 - 230.00,3.07 - 9.52,210.00,305.14,23281,2,0.422,3
@_,EZJ.L,easyJet plc,Industrials,Airlines,0.50,505.00 - 510.80,518.80 - 519.08,13.80 - 14.08,513.00,198.72,2037548,6,2.321,2
*_,FAB.L,Fusion Antibodies plc,Healthcare,Biotechnology,0.07,15.00 - 17.50,15.47 - 18.00,0.47 - 3.00,13.25,4849.34,1686893,6,0.424,30
@_,FAN.L,Volution Group plc,Industrials,Building Products & Equipment,1.50,647.00 - 647.00,655.00 - 655.00,8.00 - 8.00,653.00,112.00,253714,4,1.114,2
*_,FAR.L,Ferro-Alloy Resources Limited,Basic Materials,Other Industrial Metals & Mining,0.10,7.32 - 9.43,7.40 - 9.70,0.08 - 2.38,8.95,2678.02,1691396,6,0.603,20
@_,FARN.L,Faron Pharmaceuticals Oy,Healthcare,Biotechnology,0.36,200.00 - 221.20,210.00 - 227.50,10.00 - 27.50,225.00,2069.60,10718,2,1.144,11
@_,FAS.L,Fidelity Asian Values Ord,Financial Services,Asset Management,0.80,560.00 - 563.44,568.00 - 570.00,8.00 - 10.00,572.40,293.60,120757,3,UNKNOWN,5
*_,FCH.L,Funding Circle Holdings plc,Financial Services,Credit Services,0.30,142.50 - 154.80,144.20 - 156.90,1.70 - 14.40,148.20,716.19,501304,5,0.58,10
@_,FCIT.L,F&C Investment Trust Ord,UNKNOWN,UNKNOWN,4.00,1160.00 - 1160.00,1173.00 - 1174.00,13.00 - 14.00,1170.74,108.00,297142,4,UNKNOWN,2
@_,FCM.L,First Class Metals PLC,Basic Materials,Other Industrial Metals & Mining,0.33,1.90 - 1.96,2.03 - 2.05,0.13 - 0.15,1.95,803.80,279971,4,UNKNOWN,3
@_,FCSS.L,Fidelity China Special Situations PLC,UNKNOWN,UNKNOWN,1.00,287.50 - 296.28,292.00 - 300.50,4.50 - 13.00,300.50,254.01,837188,5,UNKNOWN,4
@_,FDBK.L,Feedback plc,Healthcare,Health Information Services,0.00,13.12 - 13.12,13.35 - 13.35,0.23 - 0.23,13.25,87.40,28485,2,-0.03,1
@_,FDEV.L,Frontier Developments plc,Communication Services,Electronic Gaming & Multimedia,0.33,366.50 - 381.00,371.50 - 385.00,5.00 - 18.50,380.00,698.36,77465,3,-0.147,9
@_,FDM.L,FDM Group (Holdings) plc,Technology,Information Technology Services,0.29,123.20 - 136.80,124.60 - 138.60,1.40 - 15.40,137.40,1060.44,449101,4,0.817,14
@_,FEML.L,Fidelity Emerging Markets Ord,Financial Services,Asset Management,1.75,837.00 - 845.00,852.00 - 855.00,15.00 - 18.00,851.00,245.00,33804,2,UNKNOWN,4
*_,FEN.L,Frenkel Topping Group Plc,Financial Services,Asset Management,0.33,46.32 - 47.02,47.16 - 48.00,0.84 - 1.68,47.00,244.64,47799,2,-0.103,3
@_,FEV.L,Fidelity European Trust Ord,Financial Services,Asset Management,1.50,397.00 - 406.02,402.53 - 410.33,5.53 - 13.33,410.50,232.68,680278,5,UNKNOWN,4
*_,FEVR.L,Fevertree Drinks PLC,Consumer Defensive,Beverages Non-Alcoholic,1.00,933.00 - 950.00,945.00 - 960.00,12.00 - 27.00,837.00,230.00,477602,4,1.051,4
*_,FGEN.L,Foresight Environmental Infra Ord,Financial Services,Asset Management,0.36,80.20 - 81.00,81.20 - 82.90,1.00 - 2.70,79.64,851.63,1328096,6,UNKNOWN,11
@_,FGP.L,FirstGroup plc,Industrials,Railroads,1.00,223.80 - 225.00,227.20 - 227.40,3.40 - 3.60,226.60,127.60,874952,5,1.298,2
@_,FGT.L,Finsbury Growth & Income Ord,Financial Services,Asset Management,7.00,881.02 - 881.02,912.50 - 912.50,31.48 - 31.48,908.00,157.40,590126,5,UNKNOWN,1
@_,FIH.L,FIH group plc,Industrials,Conglomerates,0.33,200.00 - 215.00,210.00 - 220.00,10.00 - 20.00,210.00,477.70,1979,1,-0.047,3
*_,FIN.L,Finseta Plc,Technology,Software Infrastructure,0.00,23.00 - 23.75,23.92 - 24.80,0.92 - 1.80,23.40,1241.78,146846,3,1.568,8
*_,FIPP.L,Frontier IP Group Plc,Financial Services,Asset Management,1.67,18.00 - 19.15,18.50 - 20.00,0.50 - 2.00,18.00,626.27,74860,3,0.318,3
@_,FJV.L,Fidelity Japan Trust Ord,Financial Services,Asset Management,0.56,207.00 - 211.50,212.25 - 214.00,5.25 - 7.00,212.00,681.22,261517,4,UNKNOWN,9
@_,FLK.L,Fletcher King Plc,Real Estate,Real Estate Services,1.50,35.00 - 35.20,40.00 - 40.94,5.00 - 5.94,38.50,1525.08,4841,1,0.219,2
@_,FLO.L,Flowtech Fluidpower plc,Industrials,Industrial Distribution,0.20,54.25 - 56.52,56.77 - 57.80,2.52 - 3.55,55.50,860.35,69188,3,0.558,5
@_,FME.L,Future Metals NL,Basic Materials,Other Precious Metals & Mining,1.00,0.77 - 0.77,0.93 - 0.93,0.16 - 0.16,0.82,1032.16,205591,4,1.01,1
@_,FMET.L,Fulcrum Metals plc,Basic Materials,Other Precious Metals & Mining,0.00,3.60 - 3.64,3.70 - 3.70,0.10 - 0.10,3.70,538.75,214065,4,0.703,5
@_,FNTL.L,Fintel Plc,Industrials,Consulting Services,0.40,218.00 - 226.40,222.35 - 237.00,4.35 - 19.00,229.00,1274.68,79051,3,0.982,10
*_,FNX.L,Fonix Plc,Technology,Software Infrastructure,1.00,212.00 - 215.00,215.00 - 218.00,3.00 - 6.00,214.50,388.70,64793,3,0.643,6
*_,FOG.L,Falcon Oil & Gas Ltd.,Energy,Oil & Gas E&P,0.30,7.07 - 7.65,7.40 - 8.00,0.33 - 0.93,7.10,1980.41,263596,4,-0.188,10
*_,FORT.L,Forterra plc,Basic Materials,Building Materials,1.00,190.20 - 196.00,193.20 - 199.20,3.00 - 9.00,195.40,369.12,317472,4,0.858,4
@_,FOUR.L,4imprint Group plc,Communication Services,Advertising Agencies,1.40,3318.74 - 3430.00,3376.51 - 3530.00,57.77 - 211.26,3500.00,406.64,93275,3,0.72,5
*_,FOXT.L,Foxtons Group plc,Real Estate,Real Estate Services,1.75,56.19 - 57.10,57.10 - 58.60,0.90 - 2.40,56.40,365.44,625480,5,1.361,4
@_,FPO.L,First Property Group plc,Real Estate,Real Estate Services,0.00,15.06 - 15.06,15.50 - 15.50,0.44 - 0.44,15.50,146.08,3911,1,0.163,1
@_,FPP.L,Fragrant Prosperity Holdings Limited,Financial Services,Shell Companies,0.00,0.77 - 0.78,0.83 - 0.83,0.06 - 0.06,0.77,708.83,6706955,7,1.374,2
*_,FRAN.L,Franchise Brands plc,Industrials,Specialty Business Services,0.13,134.50 - 136.34,137.36 - 140.00,2.86 - 5.50,136.22,1605.77,190173,3,0.463,15
*_,FRAS.L,Frasers Group Plc,Consumer Cyclical,Specialty Retail,0.67,672.50 - 702.00,680.06 - 712.00,7.56 - 39.50,695.50,448.42,103053,3,1.347,6
*_,FRES.L,Fresnillo plc,Basic Materials,Other Precious Metals & Mining,4.00,1706.00 - 1706.00,1742.00 - 1742.00,36.00 - 36.00,1684.00,72.00,2239289,6,0.222,1
*_,FRG.L,Firering Strategic Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.18,1.50 - 1.88,1.65 - 2.00,0.15 - 0.50,1.70,3806.87,1680258,6,0.858,11
@_,FRP.L,FRP Advisory Group plc,Financial Services,Capital Markets,0.27,126.75 - 137.10,128.80 - 139.94,2.05 - 13.19,138.00,1173.12,546147,5,0.2,15
*_,FSFL.L,Foresight Solar Ord,Financial Services,Asset Management,0.00,86.50 - 86.66,87.74 - 87.90,1.24 - 1.40,82.30,215.46,705076,5,UNKNOWN,3
@_,FSG.L,Foresight Group Holdings Limited,Financial Services,Asset Management,2.00,454.50 - 458.98,464.50 - 469.00,10.00 - 14.50,472.00,369.20,165124,3,0.512,4
*_,FSJ.L,James Fisher and Sons plc,Industrials,Marine Shipping,0.43,324.10 - 340.90,329.00 - 346.16,4.90 - 22.06,332.25,526.01,30127,2,0.403,7
@_,FSTA.L,Fuller  Smith & Turner P.L.C.,Consumer Cyclical,Restaurants,0.57,546.00 - 554.85,555.70 - 566.00,9.70 - 20.00,564.77,634.05,30170,2,0.705,7
@_,FSV.L,Fidelity Special Values Ord,Financial Services,Asset Management,3.00,381.00 - 381.92,386.00 - 386.65,5.00 - 5.65,388.38,126.49,604231,5,UNKNOWN,2
*_,FTC.L,Filtronic plc,Technology,Communication Equipment,0.17,129.20 - 145.25,130.78 - 147.00,1.58 - 17.80,134.55,1487.86,950068,5,0.585,18
*_,FUM.L,Futura Medical plc,Healthcare,Biotechnology,0.20,8.62 - 9.43,9.48 - 10.50,0.86 - 1.88,9.02,5109.96,276560,4,0.736,15
@_,FUTR.L,Future plc,Communication Services,Publishing,1.20,733.00 - 766.00,748.50 - 785.00,15.50 - 52.00,784.50,482.70,362918,4,0.863,5
@_,FXPO.L,Ferrexpo plc,Basic Materials,Steel,1.33,49.20 - 51.70,55.50 - 55.90,6.30 - 6.70,56.10,1428.04,5177510,7,0.985,3
@_,G4M.L,Gear4music (Holdings) plc,Consumer Cyclical,Internet Retail,0.33,246.00 - 252.88,252.99 - 259.30,6.99 - 13.30,252.99,1281.46,48386,2,0.933,9
@_,GABI.L,GCP Asset Backed Income,Financial Services,Asset Management,1.00,62.58 - 63.60,63.27 - 64.60,0.69 - 2.02,63.90,259.90,992783,5,UNKNOWN,3
@_,GAID.L,UNKNOWN,UNKNOWN,UNKNOWN,2.00,11.90 - 11.90,12.10 - 12.10,0.20 - 0.20,12.05,84.00,UNKNOWN,0,UNKNOWN,1
@_,GAL.L,Galantas Gold Corporation,Basic Materials,Gold,0.00,3.00 - 3.20,3.50 - 3.97,0.50 - 0.97,3.50,5494.70,88183,3,1.893,6
@_,GAMA.L,Gamma Communications plc,Communication Services,Telecom Services,1.33,1066.00 - 1074.00,1088.00 - 1094.00,22.00 - 28.00,1106.00,248.00,222377,4,0.505,3
*_,GATC.L,Gattaca plc,Industrials,Staffing & Employment Services,0.30,96.00 - 98.25,97.65 - 100.00,1.65 - 4.00,98.00,1085.98,13404,2,1.673,10
*_,GBG.L,GB Group plc,Technology,Software Application,0.75,218.55 - 222.00,222.15 - 231.00,3.60 - 12.45,216.50,409.20,727305,5,-0.008,4
*_,GCG.L,Golden Rock Global Plc,Financial Services,Asset Management,0.00,2.94 - 3.62,3.40 - 4.00,0.46 - 1.06,3.30,3340.25,170573,3,-0.262,7
@_,GCM.L,GCM Resources Plc,Energy,Thermal Coal,0.10,3.80 - 5.00,4.69 - 5.25,0.89 - 1.45,5.25,5074.57,746726,5,0.579,10
*_,GCP.L,GCP Infrastructure Investment Ord,Financial Services,Asset Management,3.00,76.60 - 76.60,77.40 - 77.40,0.80 - 0.80,73.75,52.00,1089395,6,UNKNOWN,1
*_,GDP.L,Goldplat PLC,Basic Materials,Gold,0.43,6.60 - 7.50,6.98 - 7.75,0.38 - 1.15,6.75,1378.06,234055,4,-0.226,7
@_,GDR.L,genedrive plc,Healthcare,Diagnostics & Research,0.17,0.75 - 0.83,0.85 - 0.88,0.10 - 0.12,0.80,2595.71,10512235,8,0.343,6
*_,GELN.L,Gelion plc,Industrials,Electrical Equipment & Parts,0.43,21.02 - 22.88,21.64 - 24.00,0.62 - 2.98,21.50,1851.62,77960,3,0.009,7
*_,GEM.L,Gemfields Group Limited,Basic Materials,Other Precious Metals & Mining,0.00,5.50 - 6.10,5.79 - 6.50,0.29 - 1.00,5.75,2350.27,1233499,6,0.351,8
