I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Num of Trades
@_,QD,Qudian Inc.,Financial Services,Credit Services,0.50,4.18 - 4.72,4.48 - 4.90,0.30 - 0.72,4.71,1174.80,664930,5,0.692,4
@_,CEVA,CEVA  Inc.,Technology,Semiconductors,2.50,22.33 - 23.37,23.57 - 23.61,1.24 - 1.28,23.52,327.64,342670,4,1.252,2
@_,VENU,UNKNOWN,Consumer Cyclical,Restaurants,0.20,15.20 - 17.87,15.53 - 18.11,0.33 - 2.91,17.95,1784.66,63980,3,UNKNOWN,20
*_,GNE,Genie Energy Ltd.,Utilities,Utilities Regulated Electric,0.00,15.88 - 16.01,16.25 - 16.30,0.37 - 0.42,15.67,206.66,264420,4,0.141,2
@_,HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,0.33,22.84 - 23.53,23.84 - 24.38,1.00 - 1.53,24.11,1107.02,729650,5,0.863,9
@_,LEGH,Legacy Housing Corporation,Consumer Cyclical,Residential Construction,0.56,24.50 - 28.39,26.68 - 28.98,2.18 - 4.48,27.89,1383.49,70830,3,0.857,9
@_,HIFS,Hingham Institution for Savings,Financial Services,Banks Regional,6.00,254.03 - 254.03,278.62 - 278.62,24.59 - 24.59,277.65,467.21,47830,2,0.914,1
@_,RSVR,Reservoir Media  Inc.,Communication Services,Entertainment,1.20,7.65 - 7.76,7.81 - 7.97,0.16 - 0.32,8.04,550.39,68210,3,0.888,5
@_,AMRK,A-Mark Precious Metals  Inc.,Financial Services,Capital Markets,1.33,22.58 - 23.02,23.74 - 23.79,1.16 - 1.21,24.08,617.50,198990,3,0.189,3
@_,RMR,The RMR Group Inc.,Real Estate,Real Estate Services,0.00,16.17 - 16.17,16.96 - 16.96,0.79 - 0.79,17.13,244.11,100890,3,1.225,1
@_,ORKA,Oruka Therapeutics  Inc.,Healthcare,Biotechnology,0.78,14.39 - 15.40,14.69 - 15.89,0.30 - 1.49,15.47,1099.03,170650,3,UNKNOWN,9
@_,SVRA,Savara Inc.,Healthcare,Biotechnology,0.56,2.57 - 3.11,2.66 - 3.17,0.10 - 0.61,3.17,1662.05,1666530,6,0.396,9
@_,VLGEA,Village Super Market  Inc.,Consumer Defensive,Grocery Stores,1.00,35.08 - 35.91,36.33 - 36.49,1.24 - 1.40,36.45,422.14,35200,2,0.508,4
@_,APEI,American Public Education  Inc.,Consumer Defensive,Education & Training Services,0.40,28.52 - 30.75,29.35 - 31.21,0.83 - 2.69,30.83,718.07,237850,4,1.604,5
@_,SHBI,Shore Bancshares  Inc.,Financial Services,Banks Regional,1.00,15.76 - 16.50,16.01 - 16.76,0.25 - 1.00,16.79,430.02,108460,3,1.016,5
@_,BYRN,Byrna Technologies Inc.,Industrials,Aerospace & Defense,1.00,18.68 - 19.82,20.49 - 20.50,1.81 - 1.82,20.22,654.63,391910,4,2.069,2
@_,WASH,Washington Trust Bancorp  Inc.,Financial Services,Banks Regional,0.00,28.02 - 28.78,29.10 - 29.70,1.08 - 1.68,29.71,354.40,121910,3,0.924,2
@_,CION,CION Investment Corporation,Financial Services,Asset Management,0.00,10.40 - 10.58,10.61 - 10.75,0.21 - 0.35,10.71,280.85,248590,4,1.085,3
@_,CELC,Celcuity Inc.,Healthcare,Biotechnology,0.33,50.00 - 51.96,52.37 - 53.80,2.37 - 3.80,52.42,661.16,1082170,6,0.683,3
*_,NUTX,Nutex Health Inc.,Healthcare,Medical Care Facilities,0.17,87.08 - 108.83,89.21 - 111.54,2.13 - 24.46,92.12,2002.25,279520,4,1.936,18
@_,SLI,Standard Lithium Ltd.,Basic Materials,Other Industrial Metals & Mining,0.00,2.69 - 2.96,2.94 - 3.07,0.25 - 0.37,2.84,918.34,1889490,6,1.649,3
@_,FISI,Financial Institutions  Inc.,Financial Services,Banks Regional,1.75,26.03 - 26.85,26.40 - 27.20,0.37 - 1.17,27.19,337.54,169650,3,0.809,4
*_,ARQQ,Arqit Quantum Inc.,Technology,Software Infrastructure,0.00,33.04 - 34.41,33.58 - 35.30,0.53 - 2.26,30.85,346.37,367400,4,2.319,4
*_,TERN,Terns Pharmaceuticals  Inc.,Healthcare,Biotechnology,0.20,6.60 - 6.95,6.68 - 7.08,0.08 - 0.48,6.94,1175.40,1250380,6,-0.063,15
*_,GPRE,Green Plains Inc.,Basic Materials,Chemicals,0.38,8.32 - 9.27,8.41 - 9.38,0.09 - 1.05,8.93,860.13,2138670,6,1.184,13
@_,GCI,Gannett Co.  Inc.,Communication Services,Publishing,1.00,4.10 - 4.18,4.24 - 4.34,0.14 - 0.24,4.26,556.10,1856410,6,2.621,4
@_,BCAL,California BanCorp.,Financial Services,Banks Regional,4.00,16.00 - 16.09,16.22 - 17.05,0.22 - 1.05,16.86,366.24,88560,3,0.547,2
@_,IAUX,i-80 Gold Corp.,Basic Materials,Gold,8.00,0.58 - 0.58,0.74 - 0.74,0.16 - 0.16,0.75,1380.00,5778710,7,1.369,1
@_,ARKO,Arko Corp.,Consumer Cyclical,Specialty Retail,0.27,4.76 - 5.10,4.86 - 5.16,0.10 - 0.40,5.19,960.59,590760,5,0.74,11
@_,CPAC,Cementos Pacasmayo S.A.A.,Basic Materials,Building Materials,0.67,6.01 - 6.34,6.10 - 6.43,0.09 - 0.42,6.43,667.18,3720,1,0.058,6
*_,FRPH,FRP Holdings  Inc.,Real Estate,Real Estate Services,1.25,25.74 - 26.69,26.17 - 26.99,0.43 - 1.25,26.14,384.21,39130,2,0.627,4
@_,LYTS,LSI Industries Inc.,Technology,Electronic Components,0.64,19.53 - 23.26,19.73 - 23.50,0.20 - 3.97,23.64,1728.51,244850,4,0.308,11
@_,TCBX,Third Coast Bancshares  Inc.,Financial Services,Banks Regional,1.00,38.44 - 38.64,38.85 - 40.11,0.41 - 1.67,39.81,420.09,68870,3,0.757,5
*_,GAIN,Gladstone Investment Corporation,Financial Services,Asset Management,0.00,14.27 - 14.39,14.52 - 14.56,0.24 - 0.29,14.02,146.49,135470,3,0.906,2
*_,SLDB,Solid Biosciences Inc.,Healthcare,Biotechnology,0.00,6.00 - 6.72,6.35 - 6.79,0.35 - 0.79,5.93,807.56,1048880,6,2.442,4
@_,HOUS,Anywhere Real Estate Inc.,Real Estate,Real Estate Services,0.57,5.55 - 5.68,5.76 - 5.88,0.21 - 0.32,5.86,1141.24,1162520,6,1.707,7
@_,UNTY,Unity Bancorp  Inc.,Financial Services,Banks Regional,2.50,48.44 - 48.50,49.18 - 52.48,0.74 - 4.04,52.29,486.16,33030,2,0.79,2
@_,ASM,Avino Silver & Gold Mines Ltd.,Basic Materials,Other Precious Metals & Mining,0.00,3.69 - 3.97,3.86 - 4.16,0.17 - 0.47,4.03,851.63,5418210,7,2.359,5
*_,XPOF,Xponential Fitness  Inc.,Consumer Cyclical,Leisure,0.18,8.29 - 9.06,8.54 - 9.31,0.25 - 1.02,8.80,1060.97,950920,5,1.511,11
*_,ACIC,American Coastal Insurance Corporation,Financial Services,Insurance Property & Casualty,1.00,10.72 - 10.93,10.94 - 11.15,0.22 - 0.43,10.87,404.50,199680,3,-0.289,5
@_,THRY,Thryv Holdings  Inc.,Communication Services,Internet Content & Information,2.00,12.95 - 13.54,13.84 - 13.86,0.89 - 0.91,13.82,583.56,458960,4,0.951,3
@_,BFLY,Butterfly Network  Inc.,Healthcare,Medical Devices,3.50,1.35 - 1.36,1.52 - 1.52,0.17 - 0.17,1.52,1215.59,3027610,6,2.458,2
@_,TRC,Tejon Ranch Co.,Industrials,Conglomerates,0.50,16.96 - 16.97,17.32 - 17.66,0.36 - 0.70,17.51,308.70,115510,3,0.631,2
@_,EGBN,Eagle Bancorp  Inc.,Financial Services,Banks Regional,0.75,17.45 - 18.94,17.85 - 19.31,0.40 - 1.85,19.16,792.02,683680,5,1.078,8
@_,CAL,Caleres  Inc.,Consumer Cyclical,Apparel Retail,0.80,14.34 - 14.89,15.05 - 15.65,0.71 - 1.31,15.51,868.27,561770,5,1.146,5
@_,CCNE,CNB Financial Corporation,Financial Services,Banks Regional,0.56,24.18 - 25.98,24.44 - 26.34,0.26 - 2.16,26.34,633.26,190420,3,0.665,9
@_,INNV,InnovAge Holding Corp.,Healthcare,Medical Care Facilities,0.75,3.39 - 3.50,3.54 - 3.76,0.15 - 0.37,3.74,928.42,19800,2,0.502,4
@_,FPI,Farmland Partners Inc.,Real Estate,REIT Specialty,1.50,10.77 - 10.79,10.88 - 11.11,0.10 - 0.34,11.05,305.81,318670,4,0.872,4
@_,ABL,Abacus Global Management  Inc.,Financial Services,Insurance Life,1.17,6.20 - 6.52,6.38 - 6.69,0.18 - 0.49,6.56,850.10,637890,5,0.004,6
*_,RZLT,Rezolute  Inc.,Healthcare,Biotechnology,0.42,6.21 - 7.03,6.29 - 7.11,0.08 - 0.90,7.00,1126.38,678600,5,0.186,12
@_,GRRR,Gorilla Technology Group Inc.,Technology,Software Infrastructure,0.86,16.99 - 17.54,17.81 - 18.54,0.82 - 1.55,18.03,1397.89,1947560,6,-0.727,7
@_,PFIS,Peoples Financial Services Corp.,Financial Services,Banks Regional,2.00,49.42 - 50.12,50.03 - 52.74,0.62 - 3.32,53.00,415.85,23350,2,0.762,3
@_,CODI,Compass Diversified,Industrials,Conglomerates,0.40,7.27 - 7.37,7.43 - 7.67,0.16 - 0.40,7.65,809.27,792190,5,1.048,5
@_,GNTY,Guaranty Bancshares  Inc.,Financial Services,Banks Regional,1.33,45.36 - 45.85,46.42 - 48.58,1.06 - 3.21,48.55,569.23,46900,2,0.447,3
@_,HNST,The Honest Company  Inc.,Consumer Defensive,Household & Personal Products,2.00,3.65 - 3.81,3.96 - 4.09,0.31 - 0.44,4.09,798.58,4247180,6,2.336,2
@_,MLR,Miller Industries  Inc.,Consumer Cyclical,Auto Parts,0.71,42.07 - 43.90,42.79 - 44.65,0.72 - 2.58,44.86,598.04,142540,3,1.261,7
@_,PKST,Peakstone Realty Trust,Real Estate,REIT Office,0.44,12.20 - 12.50,12.34 - 12.90,0.14 - 0.70,12.79,714.57,193330,3,1.792,9
@_,SIGA,SIGA Technologies  Inc.,Healthcare,Drug Manufacturers Specialty & Generic,1.00,8.42 - 8.90,9.05 - 9.08,0.62 - 0.66,9.13,564.52,696050,5,0.951,3
@_,NPB,UNKNOWN,Financial Services,Banks Regional,0.75,15.65 - 17.05,15.95 - 17.32,0.30 - 1.67,17.15,695.55,196850,3,UNKNOWN,8
@_,IVR,Invesco Mortgage Capital Inc.,Real Estate,REIT Mortgage,0.25,7.59 - 7.59,7.68 - 7.74,0.09 - 0.16,7.80,309.39,1092620,6,1.678,4
@_,PERI,Perion Network Ltd.,Communication Services,Internet Content & Information,1.00,8.78 - 9.04,9.11 - 9.42,0.33 - 0.64,9.37,619.51,483330,4,UNKNOWN,3
@_,SBC,SBC Medical Group Holdings Incorporated,Industrials,Consulting Services,0.40,3.91 - 4.07,4.15 - 4.39,0.24 - 0.48,4.24,1733.42,56050,3,1.272,5
@_,FMNB,Farmers National Banc Corp.,Financial Services,Banks Regional,2.67,14.26 - 14.38,14.41 - 14.81,0.15 - 0.56,14.81,286.03,104070,3,0.875,3
@_,TTI,TETRA Technologies  Inc.,Industrials,Conglomerates,1.50,3.92 - 4.24,4.07 - 4.39,0.14 - 0.46,4.47,959.45,1614950,6,1.338,4
@_,OLP,One Liberty Properties  Inc.,Real Estate,REIT Diversified,1.33,22.76 - 22.96,23.18 - 23.57,0.42 - 0.81,23.50,323.52,71550,3,1.155,3
@_,GTN,Gray Media  Inc.,Communication Services,Broadcasting,0.60,5.70 - 5.88,5.93 - 6.08,0.24 - 0.38,6.06,842.23,2069070,6,1.213,5
@_,ZKH,UNKNOWN,Consumer Cyclical,Internet Retail,0.12,2.90 - 2.97,2.99 - 3.06,0.09 - 0.15,2.99,935.63,38780,2,UNKNOWN,8
@_,ATYR,aTyr Pharma  Inc.,Healthcare,Biotechnology,1.00,4.70 - 5.08,5.33 - 5.34,0.63 - 0.65,5.36,926.71,4189770,6,0.946,2
*_,LAR,Lithium Argentina AG,Basic Materials,Other Industrial Metals & Mining,0.00,3.36 - 3.38,3.43 - 3.45,0.07 - 0.10,3.22,312.03,2384910,6,1.603,3
@_,LAES,SEALSQ Corp,Technology,Semiconductors,2.00,2.48 - 2.48,2.77 - 2.77,0.28 - 0.28,2.78,584.35,4960470,6,-13.217,1
@_,NRIM,Northrim BanCorp  Inc.,Financial Services,Banks Regional,1.50,86.01 - 87.42,87.18 - 92.31,1.17 - 6.29,92.81,474.84,48910,2,1.022,4
@_,URG,Ur-Energy Inc.,Energy,Uranium,2.33,1.17 - 1.25,1.27 - 1.35,0.10 - 0.17,1.35,1272.38,4118670,6,1.123,3
*_,NLOP,UNKNOWN,Real Estate,REIT Office,0.25,30.08 - 33.61,30.58 - 34.10,0.50 - 4.02,30.02,316.60,248840,4,UNKNOWN,4
@_,CGEM,Cullinan Therapeutics  Inc.,Healthcare,Biotechnology,0.40,7.45 - 8.09,7.55 - 8.23,0.10 - 0.78,8.19,1028.64,372050,4,-0.073,10
@_,VHI,Valhi  Inc.,Basic Materials,Chemicals,1.25,16.64 - 16.75,17.19 - 17.53,0.56 - 0.89,17.67,819.06,16370,2,1.308,4
@_,DDL,Dingdong (Cayman) Limited,Consumer Defensive,Grocery Stores,1.67,2.20 - 2.22,2.37 - 2.38,0.16 - 0.18,2.29,1130.25,621300,5,0.469,3
@_,SKYT,SkyWater Technology  Inc.,Technology,Semiconductors,2.00,10.36 - 10.36,11.92 - 11.92,1.56 - 1.56,11.84,751.92,1146860,6,3.387,1
@_,RPAY,Repay Holdings Corporation,Technology,Software Infrastructure,0.60,5.45 - 5.59,5.52 - 5.78,0.07 - 0.33,5.68,737.76,1245470,6,1.638,5
@_,HZO,MarineMax  Inc.,Consumer Cyclical,Specialty Retail,0.25,24.73 - 27.83,25.61 - 28.19,0.88 - 3.47,28.10,1084.97,289730,4,1.545,12
@_,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,1.00,1.75 - 1.78,1.82 - 1.90,0.07 - 0.16,1.88,1055.21,935770,5,2.119,4
@_,GMRE,Global Medical REIT Inc.,Real Estate,REIT Healthcare Facilities,0.75,6.66 - 6.95,7.02 - 7.24,0.36 - 0.58,7.33,673.74,747410,5,1.191,4
*_,CLW,Clearwater Paper Corporation,Basic Materials,Paper & Paper Products,0.00,21.56 - 22.52,21.94 - 22.77,0.39 - 1.22,22.22,332.04,207070,4,0.084,5
*_,NEON,Neonode Inc.,Technology,Electronic Components,0.08,22.08 - 25.51,22.76 - 25.79,0.68 - 3.70,24.93,1726.82,245670,4,0.772,13
@_,HONE,HarborOne Bancorp  Inc.,Financial Services,Banks Regional,1.75,12.14 - 12.44,12.27 - 12.62,0.13 - 0.48,12.69,330.97,165160,3,0.611,4
*_,LFMD,LifeMD  Inc.,Healthcare,Health Information Services,0.29,6.49 - 6.70,6.57 - 6.85,0.08 - 0.36,6.33,615.11,1921410,6,1.722,7
@_,ERAS,Erasca  Inc.,Healthcare,Biotechnology,1.00,1.54 - 1.57,1.62 - 1.70,0.08 - 0.15,1.60,869.76,786070,5,1.074,3
@_,NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,1.50,33.01 - 34.63,35.06 - 36.59,2.05 - 3.58,36.04,1197.54,686550,5,1.525,4
@_,NAK,Northern Dynasty Minerals Ltd.,Basic Materials,Other Industrial Metals & Mining,0.67,0.82 - 0.87,0.90 - 0.91,0.08 - 0.09,0.89,944.24,5018620,7,-0.529,3
*_,PNNT,PennantPark Investment Corporation,Financial Services,Asset Management,0.00,7.20 - 7.38,7.32 - 7.50,0.12 - 0.30,7.16,164.52,582730,5,1.105,2
@_,TRML,Tourmaline Bio  Inc.,Healthcare,Biotechnology,0.56,21.92 - 22.78,22.15 - 23.85,0.23 - 1.93,23.35,918.96,145870,3,UNKNOWN,9
@_,SVC,Service Properties Trust,Real Estate,REIT Hotel & Motel,1.50,2.46 - 2.62,2.55 - 2.85,0.09 - 0.39,2.80,924.16,1025110,6,1.898,4
*_,DDI,DoubleDown Interactive Co.  Ltd.,Communication Services,Electronic Gaming & Multimedia,0.50,9.30 - 9.37,9.40 - 9.66,0.10 - 0.36,9.17,662.70,78590,3,0.863,8
*_,MAGN,Magnera Corporation,Basic Materials,Paper & Paper Products,0.50,12.96 - 13.49,13.21 - 13.85,0.25 - 0.89,13.30,520.44,401140,4,UNKNOWN,4
@_,CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,0.25,2.32 - 2.39,2.41 - 2.48,0.09 - 0.16,2.52,1081.50,2358100,6,2.656,8
@_,NFBK,Northfield Bancorp  Inc. (Staten Island  NY),Financial Services,Banks Regional,4.00,10.81 - 10.81,11.67 - 11.67,0.86 - 0.86,11.75,397.32,158490,3,0.816,1
*_,TATT,TAT Technologies Ltd.,Industrials,Aerospace & Defense,0.11,33.57 - 40.20,34.04 - 40.70,0.47 - 7.13,37.02,1666.60,317150,4,0.774,19
@_,MNRO,Monro  Inc.,Consumer Cyclical,Auto Parts,0.23,15.68 - 16.95,15.91 - 17.25,0.23 - 1.57,17.28,1181.41,872380,5,0.972,13
@_,CSTL,Castle Biosciences  Inc.,Healthcare,Diagnostics & Research,0.67,19.51 - 19.87,20.02 - 20.56,0.51 - 1.05,20.86,775.95,668090,5,1.094,6
@_,SDM,Smart Digital Group Limited,Communication Services,Advertising Agencies,0.36,11.65 - 13.22,11.90 - 14.60,0.25 - 2.95,13.67,3524.45,754230,5,UNKNOWN,11
*_,SY,So-Young International Inc.,Healthcare,Health Information Services,0.00,4.80 - 5.25,4.85 - 5.35,0.05 - 0.55,4.03,579.80,2319630,6,1.792,3
@_,CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities Regulated Water,0.00,32.89 - 33.56,33.59 - 34.03,0.70 - 1.14,33.57,371.96,141310,3,0.54,4
@_,PGEN,Precigen  Inc.,Healthcare,Biotechnology,0.20,1.83 - 4.07,1.93 - 4.18,0.10 - 2.36,4.18,6102.50,27958750,8,1.874,20
@_,QSG,QuantaSing Group Limited,Consumer Defensive,Education & Training Services,0.43,7.06 - 8.11,7.35 - 8.60,0.29 - 1.54,8.64,1881.30,572410,5,-0.899,7
@_,NCMI,National CineMedia  Inc.,Communication Services,Advertising Agencies,2.00,4.16 - 4.16,4.57 - 4.57,0.41 - 0.41,4.54,492.00,498140,4,2.117,1
@_,CVGW,Calavo Growers  Inc.,Consumer Defensive,Food Distribution,1.00,27.39 - 27.81,27.72 - 28.30,0.33 - 0.91,27.82,275.95,160940,3,0.415,4
*_,AUNA,UNKNOWN,Healthcare,Medical Care Facilities,0.80,6.18 - 6.30,6.31 - 6.61,0.13 - 0.43,6.06,695.13,27150,2,UNKNOWN,5
@_,KELYB,Kelly Services  Inc.,Industrials,Staffing & Employment Services,0.00,11.94 - 11.94,14.84 - 14.84,2.90 - 2.90,14.72,1212.20,1320,1,0.984,1
@_,KELYA,Kelly Services  Inc.,Industrials,Staffing & Employment Services,1.00,13.96 - 14.45,14.17 - 14.64,0.21 - 0.68,14.66,438.08,357450,4,0.984,5
@_,SOHU,Sohu.com Limited,Communication Services,Electronic Gaming & Multimedia,0.00,14.92 - 15.44,15.12 - 15.81,0.20 - 0.89,15.57,514.04,49310,2,0.304,6
@_,PRTC,PureTech Health plc,Healthcare,Biotechnology,1.00,16.19 - 18.56,17.84 - 19.84,1.65 - 3.65,19.00,1445.47,4400,1,0.862,4
@_,NOA,North American Construction Group Ltd.,Energy,Oil & Gas Equipment & Services,4.00,12.17 - 12.17,13.70 - 13.70,1.53 - 1.53,13.54,627.30,294280,4,1.34,1
@_,EBF,Ennis  Inc.,Industrials,Business Equipment & Supplies,2.50,18.03 - 18.04,18.29 - 18.60,0.26 - 0.57,18.70,227.14,133180,3,0.5,2
@_,SENS,Senseonics Holdings  Inc.,Healthcare,Medical Devices,2.00,0.43 - 0.43,0.47 - 0.47,0.04 - 0.04,0.46,466.08,4014820,6,0.887,1
@_,PAYS,Paysign  Inc.,Technology,Software Infrastructure,1.00,5.26 - 5.34,5.43 - 5.52,0.17 - 0.26,5.40,565.86,590530,5,0.783,4
@_,BRCC,BRC Inc.,Consumer Defensive,Packaged Foods,0.71,1.45 - 1.52,1.54 - 1.59,0.09 - 0.13,1.54,1210.48,790720,5,0.93,7
@_,MTW,The Manitowoc Company  Inc.,Industrials,Farm & Heavy Construction Machinery,1.50,9.16 - 9.18,9.48 - 10.14,0.32 - 0.98,10.13,696.64,486120,4,2.075,2
@_,PACB,Pacific Biosciences of California  Inc.,Healthcare,Medical Devices,0.67,1.23 - 1.28,1.31 - 1.39,0.08 - 0.16,1.38,1466.15,9229820,7,2.171,6
@_,RGNX,REGENXBIO Inc.,Healthcare,Biotechnology,0.71,8.24 - 8.85,8.52 - 9.13,0.28 - 0.89,9.02,1145.05,776590,5,1.108,7
@_,BHB,Bar Harbor Bankshares,Financial Services,Banks Regional,1.33,30.63 - 31.46,31.17 - 31.97,0.55 - 1.34,31.81,350.88,52690,3,0.672,3
@_,GLRE,Greenlight Capital Re  Ltd.,Financial Services,Insurance Reinsurance,6.00,12.63 - 12.63,13.31 - 13.31,0.68 - 0.68,13.18,268.60,104540,3,0.669,1
*_,KE,Kimball Electronics  Inc.,Industrials,Electrical Equipment & Parts,0.24,20.98 - 28.43,21.24 - 28.85,0.26 - 7.88,28.33,2501.00,402520,4,1.216,21
@_,SRDX,Surmodics  Inc.,Healthcare,Medical Devices,0.25,35.53 - 36.40,36.85 - 37.92,1.32 - 2.39,37.05,567.30,462480,4,1.315,4
@_,PSBD,Palmer Square Capital BDC Inc.,Financial Services,Asset Management,0.60,13.76 - 13.93,13.99 - 14.19,0.23 - 0.43,14.17,425.15,115220,3,UNKNOWN,5
@_,DC,Dakota Gold Corp.,Basic Materials,Gold,1.33,3.81 - 3.91,4.00 - 4.03,0.19 - 0.22,4.06,570.23,524610,5,1.125,3
@_,AROW,Arrow Financial Corporation,Financial Services,Banks Regional,1.67,27.84 - 28.29,28.16 - 29.30,0.32 - 1.46,29.39,373.03,41970,2,0.809,3
*_,KMDA,Kamada Ltd.,Healthcare,Drug Manufacturers Specialty & Generic,0.00,7.49 - 7.74,7.68 - 7.83,0.19 - 0.34,7.18,184.78,56100,3,0.11,2
@_,IPI,Intrepid Potash  Inc.,Basic Materials,Agricultural Inputs,0.00,27.97 - 28.06,28.39 - 28.42,0.42 - 0.45,28.15,208.26,123510,3,1.789,3
@_,CMCO,Columbus McKinnon Corporation,Industrials,Farm & Heavy Construction Machinery,0.64,14.41 - 15.19,14.56 - 15.35,0.15 - 0.94,15.39,746.13,300150,4,1.29,11
@_,PGC,Peapack-Gladstone Financial Corporation,Financial Services,Banks Regional,0.71,26.19 - 27.98,26.64 - 28.44,0.45 - 2.25,28.49,612.05,102430,3,0.904,7
@_,OTLY,Oatly Group AB,Consumer Defensive,Packaged Foods,0.00,16.90 - 17.30,17.45 - 18.00,0.56 - 1.10,17.91,1323.65,129530,3,1.953,7
@_,BAND,Bandwidth Inc.,Technology,Software Infrastructure,0.40,13.85 - 14.27,14.42 - 14.84,0.57 - 0.99,14.76,698.09,188950,3,1.804,5
@_,BWB,Bridgewater Bancshares  Inc.,Financial Services,Banks Regional,4.00,15.59 - 15.59,16.51 - 16.51,0.92 - 0.92,16.50,294.40,52270,3,0.583,1
*_,IVA,Inventiva S.A.,Healthcare,Biotechnology,0.21,3.77 - 4.54,3.96 - 4.68,0.19 - 0.90,4.46,2393.45,35510,2,0.62,14
@_,ITOS,iTeos Therapeutics  Inc.,Healthcare,Biotechnology,7.00,10.10 - 10.10,10.22 - 10.22,0.12 - 0.12,10.20,59.40,987650,5,1.493,1
*_,ABSI,Absci Corporation,Healthcare,Biotechnology,0.00,2.93 - 2.93,3.34 - 3.34,0.41 - 0.41,2.62,699.46,5524570,7,2.037,1
@_,TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,1.25,19.32 - 19.84,19.67 - 20.75,0.35 - 1.43,20.59,615.90,123380,3,1.372,4
*_,JACK,Jack in the Box Inc.,Consumer Cyclical,Restaurants,0.00,16.70 - 20.72,16.99 - 20.97,0.29 - 4.27,18.64,1164.65,1298650,6,1.168,14
@_,CMTG,Claros Mortgage Trust  Inc.,Real Estate,REIT Mortgage,0.14,3.35 - 3.41,3.45 - 3.51,0.11 - 0.16,3.50,901.78,582740,5,1.212,7
@_,ACNB,ACNB Corporation,Financial Services,Banks Regional,0.50,44.10 - 45.94,44.67 - 46.58,0.57 - 2.49,46.61,584.31,24580,2,0.909,6
@_,CNDT,Conduent Incorporated,Technology,Information Technology Services,1.25,2.47 - 2.70,2.57 - 2.81,0.10 - 0.34,2.79,822.17,1109880,6,1.669,4
@_,YORW,The York Water Company,Utilities,Utilities Regulated Water,2.00,30.58 - 31.01,31.60 - 31.62,1.02 - 1.04,31.71,264.51,112990,3,0.725,2
@_,WNC,Wabash National Corporation,Industrials,Farm & Heavy Construction Machinery,1.00,10.14 - 10.60,10.90 - 11.20,0.76 - 1.06,11.30,1004.42,631410,5,1.647,4
@_,BSVN,Bank7 Corp.,Financial Services,Banks Regional,0.60,44.94 - 46.21,45.87 - 48.94,0.92 - 3.99,48.99,577.27,21420,2,1.148,5
@_,OPAL,OPAL Fuels Inc.,Utilities,Utilities Regulated Gas,1.00,2.27 - 2.29,2.33 - 2.34,0.06 - 0.08,2.29,505.55,123040,3,1.084,4
@_,CCRN,Cross Country Healthcare  Inc.,Healthcare,Medical Care Facilities,0.27,12.86 - 13.89,13.12 - 14.10,0.26 - 1.24,14.15,993.27,225920,4,0.355,11
@_,GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,0.20,8.58 - 9.39,8.76 - 9.62,0.18 - 1.04,9.40,774.67,766140,5,0.44,5
*_,GRVY,Gravity Co.  Ltd.,Communication Services,Electronic Gaming & Multimedia,0.00,68.34 - 68.34,69.98 - 69.98,1.64 - 1.64,64.50,119.72,16150,2,1.228,1
*_,CLMB,Climb Global Solutions  Inc.,Technology,Electronics & Computer Distribution,0.00,125.00 - 128.77,127.17 - 130.31,2.17 - 5.31,124.03,254.52,71810,3,0.993,3
@_,SES,SES AI Corporation,Consumer Cyclical,Auto Parts,0.33,0.99 - 1.05,1.09 - 1.12,0.09 - 0.13,1.11,1026.39,4039000,6,0.422,3
@_,NUS,Nu Skin Enterprises  Inc.,Consumer Defensive,Household & Personal Products,1.17,11.35 - 11.98,11.81 - 12.19,0.46 - 0.84,12.13,730.59,768600,5,0.888,6
@_,PSTL,Postal Realty Trust  Inc.,Real Estate,REIT Office,1.67,14.49 - 15.21,14.82 - 15.49,0.33 - 1.00,15.50,343.04,124490,3,0.827,3
*_,OFIX,Orthofix Medical Inc.,Healthcare,Medical Devices,0.50,13.93 - 14.85,14.14 - 15.02,0.21 - 1.09,14.55,793.43,516300,5,0.819,10
@_,SNDA,Sonida Senior Living  Inc.,Healthcare,Medical Care Facilities,0.36,25.03 - 26.43,25.36 - 26.79,0.33 - 1.76,26.61,756.59,19730,2,1.225,11
@_,CHCT,Community Healthcare Trust Incorporated,Real Estate,REIT Healthcare Facilities,1.67,14.43 - 14.82,14.95 - 15.21,0.52 - 0.78,15.13,368.64,225610,4,0.657,3
@_,CRML,Critical Metals Corp.,Basic Materials,Other Industrial Metals & Mining,0.00,4.70 - 5.84,4.80 - 6.47,0.10 - 1.77,6.55,3246.58,5758250,7,1.151,22
*_,AURA,Aura Biosciences  Inc.,Healthcare,Biotechnology,0.20,7.01 - 7.21,7.14 - 7.37,0.12 - 0.36,6.55,533.71,143050,3,0.462,5
